,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Questionable
416,"MASS PIKE¿SIGN/SIGNAL/MARKING, UNAUTHORIZED 730 CMR §7.08(1)(a)",0,9,"MASS PIKE¿SIGN/SIGNAL/MARKING, UNAUTHORIZED 730 CMR §7.08(1)(A)",730,7.08(1)(a),yes,416,not in the list of non-expungable offenses.,,n
417,"MASS PIKE¿POLICE ORDERS, FAIL OBEY * 730 CMR §7.08(1)(b)",0,10,"MASS PIKE¿POLICE ORDERS, FAIL OBEY * 730 CMR §7.08(1)(B)",730,7.08(1)(b),yes,417,not in the list of non-expungable offenses.,,n
418,"MASS PIKE¿TRAFFIC LIGHT, FAIL OBEY * 730 CMR §7.08(2)",0,11,"MASS PIKE¿TRAFFIC LIGHT, FAIL OBEY * 730 CMR §7.08(2)",730,7.08(2),yes,418,not in the list of non-expungable offenses.,,n
419,MASS PIKE¿NEGLIGENT OPERATION * 730 CMR §7.08(5)(a),0,25,MASS PIKE¿NEGLIGENT OPERATION * 730 CMR §7.08(5)(A),730,7.08(5)(a),yes,419,not in the list of non-expungable offenses.,,n
420,"MASS PIKE¿LOADING, NEGLIGENT * 730 CMR §7.08(5)(b)",0,1,"MASS PIKE¿LOADING, NEGLIGENT * 730 CMR §7.08(5)(B)",730,7.08(5)(b),yes,420,not in the list of non-expungable offenses.,,n
421,MASS PIKE¿SPEEDING * 730 CMR §7.08(6)(a),0,193,MASS PIKE¿SPEEDING * 730 CMR §7.08(6)(A),730,7.08(6)(a),yes,421,not in the list of non-expungable offenses.,,n
422,MASS PIKE¿SPEEDING TO ENDANGER * 730 CMR §7.08(6)(b),0,6,MASS PIKE¿SPEEDING TO ENDANGER * 730 CMR §7.08(6)(B),730,7.08(6)(b),yes,422,not in the list of non-expungable offenses.,,n
423,MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §7.08(6)(c),0,13,MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §7.08(6)(C),730,7.08(6)(c),yes,423,not in the list of non-expungable offenses.,,n
424,MASS PIKE¿MINIMUM SPEED VIOLATION * 730 CMR §7.08(6)(c),0,3,MASS PIKE¿MINIMUM SPEED VIOLATION * 730 CMR §7.08(6)(C),730,7.08(6)(c),yes,424,not in the list of non-expungable offenses.,,n
425,MASS PIKE¿ENTER/EXIT IMPROPERLY * 730 CMR §7.08(7),0,7,MASS PIKE¿ENTER/EXIT IMPROPERLY * 730 CMR §7.08(7),730,7.08(7),yes,425,not in the list of non-expungable offenses.,,n
426,MASS PIKE¿MARKED LANES VIOLATION * 730 CMR §7.08(8),0,195,MASS PIKE¿MARKED LANES VIOLATION * 730 CMR §7.08(8),730,7.08(8),yes,426,not in the list of non-expungable offenses.,,n
427,MASS PIKE¿BREAKDOWN LANE VIOLATION * 730 CMR §7.08(9),0,33,MASS PIKE¿BREAKDOWN LANE VIOLATION * 730 CMR §7.08(9),730,7.08(9),yes,427,not in the list of non-expungable offenses.,,n
428,"MASS PIKE¿SPECIAL FUEL PERMIT, FAIL CARRY * 730 CMR §7.06(6)(e)(2)",0,1,"MASS PIKE¿SPECIAL FUEL PERMIT, FAIL CARRY * 730 CMR §7.06(6)(E)(2)",730,7.06(6)(e)(2),yes,428,not in the list of non-expungable offenses.,,n
429,MASS PIKE¿TANDEM TOO CLOSE * 730 CMR §7.07(20),0,11,MASS PIKE¿TANDEM TOO CLOSE * 730 CMR §7.07(20),730,7.07(20),yes,429,not in the list of non-expungable offenses.,,n
430,MASS PIKE¿TANDEM PASSING VIOLATION * 730 CMR §7.07(22),0,1,MASS PIKE¿TANDEM PASSING VIOLATION * 730 CMR §7.07(22),730,7.07(22),yes,430,not in the list of non-expungable offenses.,,n
431,MASS PIKE¿MEDIAN/EXCLUDED AREA VIOLATION * 730 CMR §7.08(10)(a),0,3,MASS PIKE¿MEDIAN/EXCLUDED AREA VIOLATION * 730 CMR §7.08(10)(A),730,7.08(10)(a),yes,431,not in the list of non-expungable offenses.,,n
432,MASS PIKE¿CROSS-OVER VIOLATION * 730 CMR §7.08(10)(b),0,3,MASS PIKE¿CROSS-OVER VIOLATION * 730 CMR §7.08(10)(B),730,7.08(10)(b),yes,432,not in the list of non-expungable offenses.,,n
433,MASS PIKE¿RESTRICTED AREA VIOLATION * 730 CMR §7.08(11)(a),0,9,MASS PIKE¿RESTRICTED AREA VIOLATION * 730 CMR §7.08(11)(A),730,7.08(11)(a),yes,433,not in the list of non-expungable offenses.,,n
434,MASS PIKE¿LEFT LANE RESTRICTION * 730 CMR §7.08(11)(b),0,6,MASS PIKE¿LEFT LANE RESTRICTION * 730 CMR §7.08(11)(B),730,7.08(11)(b),yes,434,not in the list of non-expungable offenses.,,n
435,MASS PIKE¿SPEEDING IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(a),0,5,MASS PIKE¿SPEEDING IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(A),730,7.08(12)(a),yes,435,not in the list of non-expungable offenses.,,n
436,MASS PIKE¿EXCLUDED AREA IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(b),0,4,MASS PIKE¿EXCLUDED AREA IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(B),730,7.08(12)(b),yes,436,not in the list of non-expungable offenses.,,n
437,MASS PIKE¿NEGLIGENT OP IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(c),0,2,MASS PIKE¿NEGLIGENT OP IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(C),730,7.08(12)(c),yes,437,not in the list of non-expungable offenses.,,n
438,"MASS PIKE¿RIGHT LANE, FAIL KEEP TO * 730 CMR §7.08(13)",0,13,"MASS PIKE¿RIGHT LANE, FAIL KEEP TO * 730 CMR §7.08(13)",730,7.08(13),yes,438,not in the list of non-expungable offenses.,,n
439,MASS PIKE¿PASSING VIOLATION * 730 CMR §7.08(14),0,13,MASS PIKE¿PASSING VIOLATION * 730 CMR §7.08(14),730,7.08(14),yes,439,not in the list of non-expungable offenses.,,n
440,MASS PIKE¿TOO CLOSE * 730 CMR §7.08(15),0,87,MASS PIKE¿TOO CLOSE * 730 CMR §7.08(15),730,7.08(15),yes,440,not in the list of non-expungable offenses.,,n
441,MASS PIKE¿COASTING VIOLATION * 730 CMR §7.08(16),0,5,MASS PIKE¿COASTING VIOLATION * 730 CMR §7.08(16),730,7.08(16),yes,441,not in the list of non-expungable offenses.,,n
442,MASS PIKE¿STOP/BACK/U-TURN * 730 CMR §7.08(17)(a)&(b),0,19,MASS PIKE¿STOP/BACK/U-TURN * 730 CMR §7.08(17)(A)&(B),730,7.08(17)(a)&(b),yes,442,not in the list of non-expungable offenses.,,n
443,"MASS PIKE¿STOP/TURN, FAIL SIGNAL * 730 CMR §7.08(17)(c)",0,26,"MASS PIKE¿STOP/TURN, FAIL SIGNAL * 730 CMR §7.08(17)(C)",730,7.08(17)(c),yes,443,not in the list of non-expungable offenses.,,n
444,"MASS PIKE¿HEIGHT WARNING SIGNAL, IGNORE * 730 CMR §7.08(19)",0,2,"MASS PIKE¿HEIGHT WARNING SIGNAL, IGNORE * 730 CMR §7.08(19)",730,7.08(19),yes,444,not in the list of non-expungable offenses.,,n
445,MASS PIKE¿NOISE VIOLATION * 730 CMR §7.08(21),0,1,MASS PIKE¿NOISE VIOLATION * 730 CMR §7.08(21),730,7.08(21),yes,445,not in the list of non-expungable offenses.,,n
446,MASS PIKE¿HEADLIGHT HIGH BEAM VIOLATION * 730 CMR §7.08(22),0,1,MASS PIKE¿HEADLIGHT HIGH BEAM VIOLATION * 730 CMR §7.08(22),730,7.08(22),yes,446,not in the list of non-expungable offenses.,,n
447,"MASS PIKE¿FUEL, INADEQUATE * 730 CMR §7.08(23)",0,51,"MASS PIKE¿FUEL, INADEQUATE * 730 CMR §7.08(23)",730,7.08(23),yes,447,not in the list of non-expungable offenses.,,n
448,"MASS PIKE¿INSPECTION STICKER, NO * 730 CMR §7.08(26)",0,28,"MASS PIKE¿INSPECTION STICKER, NO * 730 CMR §7.08(26)",730,7.08(26),yes,448,not in the list of non-expungable offenses.,,n
449,MASS PIKE¿EQUIPMENT VIOLATON * 730 CMR §7.08(27),0,24,MASS PIKE¿EQUIPMENT VIOLATON * 730 CMR §7.08(27),730,7.08(27),yes,449,not in the list of non-expungable offenses.,,n
450,MASS PIKE¿IDLING * 730 CMR §7.08(28),0,2,MASS PIKE¿IDLING * 730 CMR §7.08(28),730,7.08(28),yes,450,not in the list of non-expungable offenses.,,n
451,MASS PIKE¿COMMON CARRIER FL STOP FOR POLICE * 730 CMR §7.08(30),0,1,MASS PIKE¿COMMON CARRIER FL STOP FOR POLICE * 730 CMR §7.08(30),730,7.08(30),yes,451,not in the list of non-expungable offenses.,,n
452,MASS PIKE¿SOLICIT FUNDS 730 CMR §7.05(9),0,1,MASS PIKE¿SOLICIT FUNDS 730 CMR §7.05(9),730,730 CMR §7.05(9),yes,452,not in the list of non-expungable offenses.,,n
453,LOGAN¿SPEEDING OVER POSTED LIMIT * 740 CMR §21.51,0,5,LOGAN¿SPEEDING OVER POSTED LIMIT * 740 CMR §21.51,740,21.51,yes,453,not in the list of non-expungable offenses.,,n
454,LOGAN¿TRAFFIC VIOLATION * 740 CMR §21.51,0,1,LOGAN¿TRAFFIC VIOLATION * 740 CMR §21.51,740,21.51,yes,454,not in the list of non-expungable offenses.,,n
455,LOGAN¿SIGNAL/SIGN/MARKINGS VIOLATION * 740 CMR §21.52,0,1,LOGAN¿SIGNAL/SIGN/MARKINGS VIOLATION * 740 CMR §21.52,740,21.52,yes,455,not in the list of non-expungable offenses.,,n
456,TOBIN BRIDGE¿HITCHHIKING/LOITERING 740 CMR §11.05(1)(b),0,1,TOBIN BRIDGE¿HITCHHIKING/LOITERING 740 CMR §11.05(1)(B),740,11.05(1)(b),yes,456,not in the list of non-expungable offenses.,,n
457,TOBIN BRIDGE¿SPEEDING OVER POSTED LIMIT * 740 CMR §11.06(1)(h),0,1,TOBIN BRIDGE¿SPEEDING OVER POSTED LIMIT * 740 CMR §11.06(1)(H),740,11.06(1)(h),yes,457,not in the list of non-expungable offenses.,,n
458,MASS PIKE TANDEM¿CLOSER THAN 500 FT * 730 CMR §4.19,0,1,MASS PIKE TANDEM¿CLOSER THAN 500 FT * 730 CMR §4.19,500 FT * 730,4.19,yes,458,not in the list of non-expungable offenses.,,n
