Charges,NW Counts,SF Counts
"OXYCODONE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(c)(1)",0,10
"OXYCODONE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(c)(2)",0,44
"PARKING LOT, UNLICENSED c148 §56",0,1
"PARKING TICKET, MUTILATE c90 §20D",0,1
"PARKING TICKETS, +5 UNPAID c90 §20C",1,0
PASSING VIOLATION * c89 §2,31,106
PEDDLING VIOLATION c101 §14,0,3
PEDDLING WITHOUT A LICENSE c101 §14,0,7
PEDESTRIAN VIOLATION c90 §18A,1,10
PERJURY c268 §1,7,20
"PERJURY, ATTEMPT TO SUBORN c268 §3",0,1
"PERJURY, SUBORN c268 §2",36,0
"PHENCYCLIDINE, DISTRIBUTE c94C §32A(c)",0,2
"PHENCYCLIDINE, POSSESS TO DISTRIB c94C §32A(d)",2,1
"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART c272 §105",0,11
"PHOTOGRAPH OF UNSUSPECTING NUDE PERSON, DISSEMINATE c272 s105(c)",7,0
PHOTOGRAPH SEXUAL OR INTIMATE PARTS W/OUT CONSENT 272/105(b),3,0
PHOTOGRAPH UNSUSPECTING NUDE PERSON c272 s105(b),38,0
"PHOTOGRAPH, SECRETLY NUDE PERSON c272 §105",0,12
"PHOTOGRAPH, UNSUSPECTING NUDE PERSON c272 §104/B",0,32
"PLANT MATERIAL, TAKE c266 §113",1,0
"PLAYGROUND EQUIPMENT, VANDALIZE c266 §98A",0,1
"POISONING, ATTEMPTED c265 §28",0,4
"POLICE HORSE/DOG, MISTREAT/INTERFERE c272 §77A",5,3
"POLICE OFFICER, FAIL ASSIST c. 268 s. 24",0,3
"POLICE OFFICER, FAIL ASSIST c268 §24",0,17
"POLICE OFFICER, IMPERSONATE c268 §33",3,36
"POLICE OFFICER, INTERFERE WITH (Common Law)",10,104
"POLICE, MISLEADING c268 §13",0,6
POSSESS AMMO WITHOUT FID CARD c269§10(h)(1),30,0
POSSESS AMMUNITION WITHOUT FID CARD c269 §10(h)(1),87,0
POSSESS CHEMICAL MACE WITHOUT FID CARD,2,0
"POSSESS CLASS A SUBSTANCE, HABITUAL c94C §34",1,0
"POSSESS CLASS B SUBSTANCE, HABITUAL c94C §34",1,0
POSSESS EXPLOSIVES,1,0
POSSESS FIREARM WITHOUT FID CARD c269§10(a),34,0
"POSSESS TO DISTRIBUTE COCAINE, SUBSEQUENT. c94C §32A(d)",0,163
"POSSESS,TRANSPORT,USE HOAX DEVICE/SUBSTANCE",2,0
POSSESSION OF MARIJUANA 1 OUNCE OR LESS W/MARIJUANA CONCENTRATE c94C s32L,2,0
POSSESSION OF OPEN CONTAINER ALCOHOL IN MV c90 §24I,671,0
POSSESSION OPEN CONTAINER ALCOHOL IN MV c. 90 s. 24I,0,11
POSSESSION OR CONTROL OF INCENDIARY DEVICE OR MATERIAL 266/102(c),6,0
"POULTRY, B&E OR ENTER TO STEAL c266 §22",0,1
"PRESCRIPTION, UTTER FALSE c94C §33(b)",27,216
"PRESCRIPTION, UTTER FALSE, SUBSQ.OFF. c94C §33(c)",0,13
PRISON GUARD HAVE SEX RELATIONS W/PRISONER c268 §21A,0,3
PRISONER VANDALIZE JAIL/HC PROPERTY c266 §130,4,29
PRISONER VANDALIZE PRISON PROPERTY c266 §129,0,15
"PRISONER, DELIVER ARTICLE TO c268 §28",0,3
"PRISONER, DELIVER ARTICLE TO c268 §31",0,8
"PRISONER, DELIVER DRUGS TO c268 §28",11,33
"PRISONER, DELIVER DRUGS TO, HABITUAL c268 §28",1,0
"PROFESSIONAL LIC SUSPENDED,PRACTICE WITH c112 §65",0,2
PROPERTY DAMAGE TO INTIMIDATE c265 §39(a),1,5
"PROSECUTOR, MISLEADING c268 §13",0,1
"PROSTITUTE, SOLICIT FOR c272 §8",2,12
"PROSTITUTION NUISANCE, MAINTAIN c139 §4-§5",0,1
"PROSTITUTION, DERIVE SUPPORT FROM CHILD c272 §4B",0,3
"PROSTITUTION, DERIVE SUPPORT FROM c. 272 s. 7",0,1
"PROSTITUTION, DERIVE SUPPORT FROM c272 §7",15,76
"PROSTITUTION, INDUCE MINOR TO c272 §4A",0,9
"PROSTITUTION, KEEP HOUSE OF c272 §24",11,16
"PROSTITUTION, MAINTAIN HOUSE OF c272 §6",0,11
"PROSTITUTION, PROCURE PERSON TO PRACTICE c. 272 s. 12",0,1
"PROSTITUTION, PROCURE PERSON TO PRACTICE c272 §12",0,4
"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR c. 272 s. 2",0,2
"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR c272 §2",0,3
PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03,1,0
"PUBLIC ASSEMBLY, DISTURB c272 §40",2,39
PUBLIC ASSISTANCE FRAUD c. 18 s. 5B,0,5
PUBLIC ASSISTANCE FRAUD c18 §5B,3,60
PUBLIC EMPLOYEE ACCEPT/SOLICIT BRIBE c268A §2(b),0,42
PUBLIC EMPLOYEE ACCEPT/SOLICIT GIFT c268A §3(b),0,14
"PUBLIC EMPLOYEE FIN STATEMENT, FALSE c268B §7",0,1
"PUBLIC EMPLOYEE, BRIBE c268A §2(a)",0,2
"PUBLIC EMPLOYEE, FALSE REPORT BY c268 §6A",1,4
"PUBLIC OFFICIAL, IMPERSONATE c268 §33",0,1
"PUBLIC WAY, THROW OBJECT ON c265 §35",2,2
PUPIL TRANSPORT VEHICLE VIOLATION * c90 §7D,0,1
"PUPIL TRANSPORT VEHICLE, OVERCROWDED c90 §7D",0,1
"PUPILS, TRANSPORT WITHOUT LICENSE * c90 §8A½",0,2
"Possession Open Container, c90,s24I",1,0
Possession of a theft detection shielding device w/ intent to steal c266 §30B(b),1,0
RACING MOTOR VEHICLE * c90 §17B,5,133
RACING MOTOR VEHICLE c90 §24(2)(a),3,14
"RACING MOTOR VEHICLE, SUBSQ.OFF. * c90 §17B",0,1
"RACING PARIMUTUEL TICKET, FALSE c128A §10B",0,1
RAFFLE/BAZAAR VIOLATION c271 §7A,0,1
"RAILROAD CAR, B&E FOR FELONY c266 §19",0,3
"RAILROAD CAR, ENTER AT NIGHT FOR FELONY c266 §19",0,1
"RAILROAD CAR, LARCENY FROM c266 §20",0,1
"RAILROAD CAR/TRACK/SIGNAL, VANDALIZE c159 §103",0,1
RAILROAD CROSSING VIOLATION * c90 §15,5,1
"RAILROAD FARE, ATTEMPT TO EVADE c159 §101",0,4
"RAILROAD FARE, EVADE c159 §101",0,135
"RAILROAD FARE, EVADE c160 §220",1,0
RAILROAD OBSTRUCT PUBLIC WAY c160 §151,0,1
"RAILROAD STATION, LOITER IN c160 §219",0,7
"RAILROAD TRACK, WALK/RIDE ON c160 §218",52,47
"RAILROAD TRACK, WALK/STAND ON ELECTRIC c162 §18",1,3
"RAILROAD, MALICIOUS INJURY TO c160 §225",1,0
"RAILROAD, OBSTRUCT/ENDANGER c160 §226",1,2
"RAILROAD/RAILWAY STATION, LITTER IN c161 §94A",0,1
"RAILROAD/RAILWAY STATION, LOITER IN c161 §95",0,6
RAPE AND ABUSE OF A CHILD c265 §23,62,0
"RAPE OF A CHILD WITH FORCE, AGGRAVATED c265 §22B",4,0
RAPE OF CHILD WITH FORCE c. 265 s. 22A,0,3
RAPE OF CHILD WITH FORCE c265 §22A,56,101
"RAPE OF CHILD WITH FORCE, SUBSQ.OFF. c265 §22A",0,1
"RAPE OF CHILD, AGGRAVATED, TEN YEAR AGE DIFF c265 §23",0,182
"RAPE OF CHILD, STATUTORY AGGRAVATED c265 §23A/A",0,154
"RAPE OF CHILD, STATUTORY c. 265 s. 23",0,5
"RAPE OF CHILD, STATUTORY c265 §23",0,269
"RAPE OF CHILD, STATUTORY, AGGRAVATED",2,0
"RAPE OF CHILD, STATUTORY, SUBSQ.OFF. c265 §23",0,16
RAPE c. 265 s. 22(b),0,7
RAPE c265 §22(b),77,390
"RAPE, AGGRAVATED FIREARM-ARMED c265 §22(a)",0,1
"RAPE, AGGRAVATED FIREARM-ARMED, SUBSQ.OFF. c265 §22(a)",0,2
"RAPE, AGGRAVATED c. 265 s. 22(a)",0,1
"RAPE, AGGRAVATED c265 §22(a)",15,201
"RAPE, AGGRAVATED, SUBSQ.OFF. c265 §22(a)",0,8
"RAPE, FIREARM-ARMED c265 §22(b)",0,1
"RAPE, SUBSQ.OFF. c265 §22(b)",0,15
RECEIVE FALSE-TRADED PROPERTY +$250 c266 §60,0,1
RECEIVE STOLEN OR FALSE-TRADED PROPERTY +$250 c. 266 s. 60,0,1
RECEIVE STOLEN PROPERTY +$1200 c266 §60,7,19
RECEIVE STOLEN PROPERTY +$250 c266 §60,300,2391
"RECEIVE STOLEN PROPERTY +$250, SUBSQ OFF c266 §60",1,0
"RECEIVE STOLEN PROPERTY +250, SUBSQ.OFF c266 §60",0,17
RECEIVE STOLEN PROPERTY -$1200 c266 §60,54,71
"RECEIVE STOLEN PROPERTY -$1200, SUBSQ. OFF c266 §60",0,3
"RECEIVE STOLEN PROPERTY -$1200, SUBSQ.OFF c266 §60",2,0
RECEIVE STOLEN PROPERTY -$250 c266 §60,242,1140
"RECEIVE STOLEN PROPERTY -$250, SUBSQ.OFF c266 §60",6,97
"RECEIVER, COMMON c266 §62",2,3
RECKLESS ENDANGERMENT OF CHILD 265§13L,117,0
RECKLESS ENDANGERMENT OF CHILD c265 §13L,0,198
RECKLESS OPERATION OF MOTOR VEHICLE c90 §24(2)(a),185,717
"RECOGNIZANCE, FAIL APPEAR UPON c276 §82A",14,18
"RECORDING W/OUT MFR NAME, MFR/SELL/RENT c266 §143C",0,9
"RECORDING, UNAUTHORIZED REPRODUCTION OF c266 §143A",0,12
"RED/BLUE LIGHT VIOLATION, MV * c90 §7E",2,5
REGISTER MV IMPROPERLY TO AVOID TAXES/PREMIUMS c90 §3½ (c)(2),2,0
"REGISTER MV OPERATED +30 DAYS YEAR, FL * c90 §3",7,8
REGISTRATION LEFT IN TRANSFERRED MV * c90 §2B,0,1
REGISTRATION NOT IN POSSESSION * c90 §11,204,256
REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(a),36,68
REGISTRATION STICKER MISSING * 540 CMR §2.24(3),0,2
"REGISTRATION SUSPENDED, OP MV WITH c90 §23",1862,5955
"REGISTRATION SUSPENDED, OP MV, SUBSQ.OFF c90 §23",16,60
"REGISTRATION, FALSE STATEMNT IN APPL FOR c90 §24(2)(a)",0,3
"RELIGIOUS SERVICE, DISTURB c272 §38",0,1
RESIST ARREST (Common Law),0,21
RESIST ARREST c268 §32B,740,5057
"RESIST, ARREST c. 268 s. 32B",0,10
"RESTAURANT, DEFRAUD c140 §12",2,29
"RETURN BY PROCESS SERVER, FALSE c268 §6B",0,1
RIDE IN BACK OF TRAILER/SEMI c90 §13,0,2
"RIDE IN BACK OF TRAILER/SEMI, 3RD OFF. c90 §13",0,1
"RIFLE/SHOTGUN IN VEH, LEAVE LARGE CAPACITY c140 §131C(c)",0,3
"RIFLE/SHOTGUN ON WAY, CARRY LOADED c. 269 s. 12D(a)",0,1
"RIFLE/SHOTGUN ON WAY, CARRY LOADED c269 §12D",0,1
"RIFLE/SHOTGUN ON WAY, CARRY LOADED c269 §12D(a)",1,4
"RIFLE/SHOTGUN ON WAY, CARRY UNLOADED c269 §12D(b)",2,5
"RIFLE/SHOTGUN WITHOUT SERIAL NO., SELL c269 §10(g)",0,1
"RIFLE/SHOTGUN, STORE IMPROP NEAR MINOR c140 §131L(a)&(c)",5,5
"RIGHT LANE, FAIL DRIVE IN * c89 §4B",134,40
"RIOT, FAIL DISPERSE c269 §2",28,11
"RIOT, INCITE c264 §11",5,2
"RIOT, OFFICIAL FAIL DISPERSE c269 §3",0,1
"RMV DOCUMENT, FORGE/MISUSE c90 §24B",45,478
"RMV DOCUMENT, POSSESS/USE FALSE/STOLEN c90 §24B",9,212
RMV ID CARD ADDRESS CHANGE c90 §8J,2,0
RMV ID CARD FRAUD c90 §8H,0,5
"RMV SIGNATURE, FORGE/MISUSE c90 §24B",0,23
"RMV SIGNATURE, POSSESS/USE FALSE/STOLEN c90 §24B",1,23
"ROBBERY +60, UNARMED c265 §19(a)",3,82
"ROBBERY +60, UNARMED, SUBSQ.OFF. c265 §19(a)",0,6
"ROBBERY, ARMED & MASKED c265 §17",67,235
"ROBBERY, ARMED & MASKED, SUBSQ.OFF. c265 §17",0,3
"ROBBERY, ARMED c. 265 s. 17",0,3
"ROBBERY, ARMED c265 §17",81,1754
"ROBBERY, ARMED, FIREARM c. 265 s. 17",0,1
"ROBBERY, FIREARM-ARMED & MASKED c265 §17",0,39
"ROBBERY, FIREARM-ARMED & MASKED, SUBSQ.OFF. c265 §17",0,1
"ROBBERY, FIREARM-ARMED c265 §17",19,109
"ROBBERY, FIREARM-ARMED, SUBSQ.OFF. c265 §17",0,9
"ROBBERY, UNARMED c265 §19(b)",71,1318
"ROBBERY, UNARMED c265 §19(b) - HABITUAL OFFENDER",1,0
"Rape & Abuse Child, c265,s23",1,0
"Rape, c265,s22(b)",1,0
SAFETY GLASS VIOLATION * c90 §9A,2,17
"SAFETY STANDARDS, MV NOT MEETING RMV * c90 §7A & §20",141,244
"SALES TAX CERTIFICATE, FALSE c62C §73(i)",0,3
SCALLOPS SALES VIOLATION c130 §92,0,1
"SCHOOL BUS INSPECTION, FAIL PERFORM POST-TRIP * c90 §7B(17)",0,2
SCHOOL BUS OPERATION/EQUIPMENT VIOL * c90 §7B,0,6
"SCHOOL BUS, FAIL STOP FOR * c90 §14",0,36
"SCHOOL BUS, OVERCROWDED c90 §7B",0,3
"SCHOOL, DISTURB c272 §40",117,24
"SCHOOL, FAIL SEND CHILD TO c76 §2",17,0
"SCHOOL, POSSESS LIQUOR IN c272 §40A",0,1
"SEAT BELT, FAIL WEAR * c90 §13A",251,720
"SECOND OR SUBSEQUENT, POSSESS LARGE CAPACITY FIREARM c269 §10(m)",0,201
"SELF DEFENSE SPRAY, POSS BY FELON/YO c. 140 §122D/A",0,2
"SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER c140 §122D",1,0
SEWER BY-LAW VIOLATION c40 §21(6),0,2
SEX OFFENDER FAIL TO REGISTER C6/178H (a)(i) HABITUAL OFFENDER,3,0
SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iii) HABITUAL OFFENDER,4,0
SEX OFFENDER FAIL TO REGISTER C6/178H (a)(iv) HABITUAL OFFENDER,5,0
SEX OFFENDER FAIL TO REGISTER c6 §178H,10,0
SEX OFFENDER FAIL TO REGISTER c6 §178H(a)-(c),101,1074
"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF. c6 §178H(c)",0,50
"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF. c6 §178H(c)",0,49
"SEX OFFENDER FAIL TO REGISTER, LEVEL 2 or 3 c6 §178H(a)(1)",0,233
"SEX OFFENDER FAIL TO REGISTER, SUBSQ. OFF., LEVEL 2 OR 3",3,0
"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3 c6 §178H(a)",0,20
"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. c6 §178H(a)",25,282
"SEX OFFENDER INFO, AGENCY FAIL PROVIDE c6 §178K(3)",0,1
"SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE c6 §178F or §178F½",1,3
"SEX OFFENDER REGISTRY INFO, MISUSE c6 §178N",2,0
SEXUAL CONDUCT FOR FEE c272 §53A,14,404
"SEXUAL CONDUCT, PAY FOR OR FOR FEE c. 272 s. 53A",0,2
"SEXUAL CONDUCT, PAY FOR c272 §53A",1,168
"SEXUAL INTERCOURSE, DRUG FOR c272 §3",2,3
"SEXUAL INTERCOURSE, INDUCE CHASTE MINOR c272 §4",1,1
SEXUALLY DANGEROUS PERSON c123A,0,3
SHELLFISH IN CONTAMINATED AREA AT NIGHT c130 §75,0,1
SHOPLIFTING $100+ BY ASPORTATION c266 §30A,162,431
SHOPLIFTING $100+ BY CONCEALING MDSE c266 §30A,105,324
SHOPLIFTING $100+ BY PRICE TAG TAMPERING c266 §30A,2,11
SHOPLIFTING $100+ BY RECORDING FALSE VALUE c266 §30A,0,1
SHOPLIFTING $100+ OF SHOPPING CART c266 §30A,0,1
SHOPLIFTING $250+ BY ASPORTATION c266 §30A,11,16
SHOPLIFTING $250+ BY CONCEALING MDSE c266 §30A,6,20
SHOPLIFTING $250+ BY PRICE TAG TAMPERING c266 §30A,0,1
SHOPLIFTING BY ASPORTATION c266 §30A,449,2311
"SHOPLIFTING BY ASPORTATION, 2ND OFF. c266 §30A",64,119
"SHOPLIFTING BY ASPORTATION, 3RD OFF. c266 §30A",114,207
SHOPLIFTING BY CONCEALING MDSE c266 §30A,494,1501
"SHOPLIFTING BY CONCEALING MDSE, 2ND OFF. c266 §30A",70,81
"SHOPLIFTING BY CONCEALING MDSE, 3RD OFF. c266 §30A",117,182
SHOPLIFTING BY CONTAINER SWITCHING c266 §30A,1,2
"SHOPLIFTING BY CONTAINER SWITCHING, 2ND c266 §30A",0,3
SHOPLIFTING BY PRICE TAG TAMPERING c266 §30A,22,27
"SHOPLIFTING BY PRICE TAG TAMPERING, 2ND c266 §30A",0,2
"SHOPLIFTING BY PRICE TAG TAMPERING, 3RD c266 §30A",1,1
SHOPLIFTING BY RECORDING FALSE VALUE c266 §30A,2,3
"SHOPLIFTING BY RECORDING FALSE VALUE,3RD c266 §30A",0,1
SHOPLIFTING OF SHOPPING CART c266 §30A,1,3
SHOPLIFTING; OVER $100.00 c. 266 s. 30A,0,1
SHOTGUN SHELLS IN CLOSED SEASON c131 §66,1,0
"SHOTGUN, POSSESS SAWED-OFF c269 §10(c)",3,40
"SHOTGUN, POSSESS SAWED-OFF, 2ND OFF. c269 §10(c) & (d)",0,19
"SHOTGUN, POSSESS SAWED-OFF, 3RD OFF. c269 §10(c) & (d)",0,11
"SHOTGUN, POSSESS c269 §10(h)",0,11
"SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED c131 §63",2,1
"SIGN NAME, MV OPERATOR REFUSE c90 §25",0,11
"SIGNAL, FAIL TO * c90 §14B",70,488
"SIGNATURE, OBTAINING BY FALSE PRETENSE c266 §31",2,1
"SILENCER, SELL/USE/POSSESS FIREARM c269 §10A",2,6
"SLOW, FAIL TO * c90 §14",9,71
"SMALL LOANS, UNLICENSED c140 §110",0,1
SMOKE DETECTOR VIOLATION c148 §26E,0,1
SMOKING ON MBTA c272 §43A,0,7
"SNOW PLOW/HITCH, FAILURE TO REMOVE c90 §19K",1,0
"SNOW VEHPRIVATE PROPERTY, ON * c90B §26",1,0
"SNOW VEH¿PRIVATE PROPERTY, ON * c90B §26",0,1
"SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING c85 §5",0,1
SNOW/REC VEH - NEGLIGENT/RECKLESS OP,5,0
SNOW/REC VEH - OUI BY 21+ - LIQUOR OR .08%,2,0
"SNOW/REC VEH - PUBLIC PROPERTY, ON 90B/26(e)",1,0
SNOW/REC VEH - REFUSE STOP FOR POLICE 90B/26(c),2,0
"SNOW/REC VEH,PUBLIC WAY, ON c. 90B s. 25",0,1
SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03,1,4
SNOW/REC VEHHELMET VIOLATION * c90B §26,7,0
SNOW/REC VEHNOISE VIOLATION * c90B §24,1,0
SNOW/REC VEHOUILIQUOR * c90B §26,1,0
"SNOW/REC VEHPUBLIC WAY, ON c90B §25",15,0
"SNOW/REC VEHREGISTRATION, FL PRODUCE * c90B §22",14,0
"SNOW/REC VEHSTOP FOR POLICE, FAIL * c90B §32",1,0
SNOW/REC VEHUNDER 14 OPERATE UNSUPERVSD c90B §26,2,0
SNOW/REC VEHUNREGISTERED * c90B §21,1,0
SNOW/REC VEHUNSAFE OPERATION * c90B §26,4,0
"SNOW/REC VEH¿ADDRESS CHANGE, FAIL REPORT * c90B §22",0,1
SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07,0,2
SNOW/REC VEH¿EQUIPMENT VIOLATION * c90B §24,0,5
"SNOW/REC VEH¿FIREARM, OP WHILE CARRY * c90B §26",0,4
SNOW/REC VEH¿HELMET VIOLATION * c90B §26,0,35
SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05,0,1
"SNOW/REC VEH¿PUBLIC WAY, ON c90B §25",0,141
"SNOW/REC VEH¿REGISTRATION, FL PRODUCE * c90B §22",0,23
SNOW/REC VEH¿UNREGISTERED * c90B §21,0,2
SNOW/REC VEH¿UNSAFE OPERATION * c90B §26,0,8
SODOMY c272 §34,0,2
SOLICIT FROM PERSONS IN MOTOR VEHICLES c85 §17A,13,31
SOLICIT TO COMMIT FELONY (Common Law),1,5
SPECIAL NEEDS STUDENTS VEH FL ID OWNER * c90 §7CC,0,1
SPEEDING * c90 §17,1884,2496
SPEEDING IN VIOL SPECIAL REGULATION * c90 §18,405,193
SPEEDING ON COUNTY BRIDGE VIOL BY-LAW * c85 §20,0,1
SPEEDING RATE GREATER THAN WAS REASONABLE AND PROPER c90 §17,9,0
SPEEDING WHILE OVERWEIGHT VIOL PERMIT * c90 §17,0,5
SPRINKLER SYSTEM VIOL c148 §26B,0,1
"SPRINKLER SYSTEM VIOL, HIGH RISE c148 §26A",0,1
"SPRINKLER SYSTEM VIOL, MULTIPLE DWELL c148 §26I",0,1
"SPRINKLER SYSTEM, DISCONNECT c148 §27A",18,12
"SPRINKLER SYSTEM, FAIL INSTALL c148 §27",0,1
STALKING IN VIOL OF RESTRAINING ORDER c265 §43(b),14,47
"STALKING IN VIOL OF RESTRAINING ORDER,2D c265 §43(c)",1,0
STALKING c265 §43(a),8,147
"STATE BUILDING, VANDALIZE c266 §96",5,15
STATE HWAY WRONG WAY * 720 CMR §9.05,0,196
STATE HWAYLEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b),1,0
STATE HWAYPEDESTRIAN VIOLATION 720 CMR §9.09,1,0
"STATE HWAYRAMP, BACK ON/OFF * 720 CMR §9.08",1,0
STATE HWAYSIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06,25,0
STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.06,179,0
STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.07,9,0
STATE HWAYWRONG WAY * 720 CMR §9.05,13,0
"STATE HWAY¿CLOSED TO TRAVEL, MV WHERE * c85 §2E",0,9
STATE HWAY¿HAZARDOUS MAT TRANSP VIOL * 720 CMR §8.03 & §8.04,0,1
STATE HWAY¿LEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b),0,1
STATE HWAY¿PARKING * 720 CMR §9.03,0,1
STATE HWAY¿PEDESTRIAN VIOLATION 720 CMR §9.09,0,6
"STATE HWAY¿RAMP, BACK ON/OFF * 720 CMR §9.08",0,3
STATE HWAY¿SIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06,0,134
STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.06,0,305
STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.07,0,10
STATUTORY RAPE OF CHILD,40,0
"STOLEN MV, FAIL REPORT RECOVERY OF c90D §33",0,1
"STOLEN PROPERTY, REFUSE RETURN c266 §21",0,1
"STOP FOR POLICE, FAIL c90 §25",347,1514
"STOP/YIELD, FAIL TO * c89 §9",590,2878
STRANGULATION OR SUFFOCATION c265 §15D(a),0,1358
"STRANGULATION OR SUFFOCATION, PREGNANT VICTIM c265 §15D(c)",0,16
STREETCAR FAIL STOP FOR FIRE APPARATUS c89 §6A,1,0
"STREETCAR, OBSTRUCT c161 §94",0,1
"STREETWALKER, COMMON c272 §53",0,10
STRIPED BASS TAKEN NOT BY ANGLING c130 §100B,0,2
SUBSEQUENT BUILDING CODE/ORDER VIOLATION,9,0
"SYNTHETIC CANNABINOID, POSSESSION OR SALE OF c16 §59.3",0,1
Sexually Dangerous Person,1,0
"Sexually Dangerous Person, c123A",2,0
"Shoplifting, c266,s30A",1,0
Solicitation to Commit a Felony C279S5,2,0
Speeding in Construction Zone,1,0
"Strangulation or Suffocation,  c265  §15D(b)",385,0
"Strangulation or Suffocation, Pregnant Victim,  c265  §15D(c)",13,0
"Strangulation or Suffocation, Serious Bodily Injury,  c265  §15D(c)",3,0
"Strangulation or Suffocation, Subsequent,  c265  §15D(c)",3,0
"Strangulation or Suffocation, Violation of Court Order,  c265  §15D(c)",6,0
TAGGING PROPERTY c. 266 s. 126B,0,1
TAGGING PROPERTY c266 §126B,34,161
"TAX DOCUMENT, FALSE SIGNATURE ON c62C §73(f)(3)",0,1
"TAX RETURN, AID FALSE c62C §73(f)(2)",0,2
"TAX RETURN, FAIL FILE c62C §73(c)",0,13
"TAX RETURN, FALSE VERIFIED c62C §73(f)(1)",0,11
"TAX, ATTEMPT TO EVADE c62C §73(a)",1,1
"TAX, EVADE c62C §73(c)",0,1
"TAX, FAIL COLLECT OR PAY OVER c62C §73(b)",0,80
"TAXI FARE, ATTEMPT TO EVADE c159A §16",0,7
"TAXI FARE, ATTEMPT TO EVADE c159A §16A",0,1
"TAXI FARE, EVADE c159A §16",3,68
TAXI VIOLATION c159A §15,0,441
"TAXI VIOLATION, SUBSQ.OFF. c159A §15",0,1
"TEAR GAS/MACE, USE IN CRIME c269 §10C",0,3
"TELEPHONE CALLS, ANNOYING c269 §14A",34,415
"TELEPHONE CALLS, OBSCENE c269 §14A",4,9
"TELEPHONE CREDIT CARD SYSTEM, PUBLISH c266 §37D",3,0
"TELEPHONE SERVICE BY FRAUD -$5000, ATT c166 §42A",0,1
"TELEPHONE SERVICE BY FRAUD -$5000,OBTAIN c166 §42A",0,2
"THIEF, COMMON & NOTORIOUS c266 §40",30,92
"THIEF, COMMON & NOTORIOUS-HABITUAL c266 §40",2,0
THREAT TO COMMIT CRIME c. 275 s. 2,0,15
THREAT TO COMMIT CRIME c275 §2,496,6967
"THREAT, BUSINESS c271 §39(a)",0,1
THREATENED USE OR PRESENCE OF DEADLY DEVICE OR SUBSTANCE c269 §14(c),0,8
"TICKET RESALE, UNLICENSED c140 §185A",0,2
TICKET SCALPING c140 §185D,0,1
TIRE OUTSIDE FENDER c90 §19,5,4
TIRE TREAD DEPTH VIOLATION * c90 §7Q,23,3
"TITLE, ALLOW UNAUTH POSSESSION/USE OF MV c90D §32(b)",1,5
"TITLE, FAIL APPLY FOR MV c90D §4(a)",5,0
"TITLE, FALSE MV c90D §32(a)",2,2
"TITLE, FALSE STATEMENT IN APPLIC FOR MV c90D §32(a)",1,7
TOBIN BRIDGE¿HITCHHIKING/LOITERING 740 CMR §11.05(1)(b),0,1
TOBIN BRIDGE¿SPEEDING OVER POSTED LIMIT * 740 CMR §11.06(1)(h),0,1
"TOOLS, LARCENY OF CONSTRUCTION c266 §27",0,7
"TOOLS, LARCENY OF CONSTRUCTION, SUBSQ. c266 §27",0,2
"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c. 266 s. 60A",0,1
"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c266 §60A",0,2
"TRADE SECRET, LARCENY OF c266 §30(4)",0,1
"TRAFFICKING COCAINE SECOND OR SUBSEQUENT OFFENSE C.94C, §32(E)(a)",0,1
"TRAFFICKING IN COCAINE, 100 GRAMS OR MORE, LESS THAN 200 GRAMS",3,0
"TRAFFICKING IN COCAINE, 18 GRAMS OR MORE, LESS THAN 36 GRAMS",11,0
"TRAFFICKING IN COCAINE, 36 GRAMS OR MORE, LESS THAN 100 GRAMS",17,0
TRAFFICKING OF PERSON FOR SEXUAL SERVITUDE c265 §50(a),19,0
TRAFFICKING PERSONS FOR SEXUAL SERVITUDE c. 265 s. 50,0,126
"TRAMP, THREATS BY c272 §64",0,1
