"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"1308","OUI¿DRUGS, 7TH OFFENSE c90 §24(1)(a)(1)",0,1,"OUI¿DRUGS, 7TH OFFENSE","90","24(1)(a)(1)","No","OUIDRUGS7THOFFENSEc90241a1"
"1309","OUI¿DRUGS, 9TH OFFENSE c90 §24(1)(a)(1)",0,1,"OUI¿DRUGS, 9TH OFFENSE","90","24(1)(a)(1)","No","OUIDRUGS9THOFFENSEc90241a1"
"1310","OUI LIQUOR OR DRUGS, 2ND OFF. c. 90 s. 24(1)(a)(1)",0,1,"OUI LIQUOR OR DRUGS, 2ND OFF.","90","24(1)(a)(1)","No","OUILIQUORORDRUGS2NDOFFc90s241a1"
"1311","NEGLIGENT OPERATION OF MOTOR VEHICLE c90 §24(2)(a)",2389,2894,"NEGLIGENT OPERATION OF MOTOR VEHICLE","90","24(2)(a)","No","NEGLIGENTOPERATIONOFMOTORVEHICLEc90242a"
"1312","LEAVE SCENE OF PROPERTY DAMAGE c90 §24(2)(a)",782,2478,"LEAVE SCENE OF PROPERTY DAMAGE","90","24(2)(a)","No","LEAVESCENEOFPROPERTYDAMAGEc90242a"
"1313","USE MV WITHOUT AUTHORITY c90 §24(2)(a)",208,1010,"USE MV WITHOUT AUTHORITY","90","24(2)(a)","No","USEMVWITHOUTAUTHORITYc90242a"
"1314","RECKLESS OPERATION OF MOTOR VEHICLE c90 §24(2)(a)",185,717,"RECKLESS OPERATION OF MOTOR VEHICLE","90","24(2)(a)","No","RECKLESSOPERATIONOFMOTORVEHICLEc90242a"
"1315","LICENSE, ALLOW ANOTHER TO USE c90 §24(2)(a)",5,22,"LICENSE, ALLOW ANOTHER TO USE","90","24(2)(a)","No","LICENSEALLOWANOTHERTOUSEc90242a"
"1316","RACING MOTOR VEHICLE c90 §24(2)(a)",3,14,"RACING MOTOR VEHICLE","90","24(2)(a)","No","RACINGMOTORVEHICLEc90242a"
"1317","USE MV WITHOUT AUTHORITY, 2ND OFF. c90 §24(2)(a)",2,25,"USE MV WITHOUT AUTHORITY, 2ND OFF.","90","24(2)(a)","No","USEMVWITHOUTAUTHORITY2NDOFFc90242a"
"1318","USE MV WITHOUT AUTHORITY, 3RD OFF. c90 §24(2)(a)",1,3,"USE MV WITHOUT AUTHORITY, 3RD OFF.","90","24(2)(a)","No","USEMVWITHOUTAUTHORITY3RDOFFc90242a"
"1319","LICENSE, FALSE STATEMENT IN APPLIC FOR c90 §24(2)(a)",0,19,"LICENSE, FALSE STATEMENT IN APPLIC FOR","90","24(2)(a)","No","LICENSEFALSESTATEMENTINAPPLICFORc90242a"
"1320","REGISTRATION, FALSE STATEMNT IN APPL FOR c90 §24(2)(a)",0,3,"REGISTRATION, FALSE STATEMNT IN APPL FOR","90","24(2)(a)","No","REGISTRATIONFALSESTATEMNTINAPPLFORc90242a"
"1321","NEGLIGENT OPERATION OF MOTOR VEHICLE c. 90 s. 24(2)(a)",0,2,"NEGLIGENT OPERATION OF MOTOR VEHICLE","90","24(2)(a)","No","NEGLIGENTOPERATIONOFMOTORVEHICLEc90s242a"
"1322","LEAVE SCENE OF PROPERTY DAMAGE c. 90 s. 24(2)(a)",0,1,"LEAVE SCENE OF PROPERTY DAMAGE","90","24(2)(a)","No","LEAVESCENEOFPROPERTYDAMAGEc90s242a"
"1323","LEAVE SCENE OF PERSONAL INJURY c90 §24(2)(a½)(1)",57,641,"LEAVE SCENE OF PERSONAL INJURY","90","24(2)(a½)(1)","No","LEAVESCENEOFPERSONALINJURYc90242a1"
"1324","LEAVE SCENE OF PERSONAL INJURY & DEATH c90 §24(2)(a½)(2)",2,48,"LEAVE SCENE OF PERSONAL INJURY & DEATH","90","24(2)(a½)(2)","No","LEAVESCENEOFPERSONALINJURYDEATHc90242a2"
"1325","MOTOR VEH IN FELONY/LARCENY, USE c90 §24A",5,2,"MOTOR VEH IN FELONY/LARCENY, USE","90","24A","Yes","MOTORVEHINFELONYLARCENYUSEc9024A"
"1326","RMV DOCUMENT, FORGE/MISUSE c90 §24B",45,478,"RMV DOCUMENT, FORGE/MISUSE","90","24B","Yes","RMVDOCUMENTFORGEMISUSEc9024B"
"1327","RMV DOCUMENT, POSSESS/USE FALSE/STOLEN c90 §24B",9,212,"RMV DOCUMENT, POSSESS/USE FALSE/STOLEN","90","24B","Yes","RMVDOCUMENTPOSSESSUSEFALSESTOLENc9024B"
"1328","RMV SIGNATURE, POSSESS/USE FALSE/STOLEN c90 §24B",1,23,"RMV SIGNATURE, POSSESS/USE FALSE/STOLEN","90","24B","Yes","RMVSIGNATUREPOSSESSUSEFALSESTOLENc9024B"
"1329","LICENSE, FALSE APPLICATION FOR MV c90 §24B",1,309,"LICENSE, FALSE APPLICATION FOR MV","90","24B","Yes","LICENSEFALSEAPPLICATIONFORMVc9024B"
"1330","RMV SIGNATURE, FORGE/MISUSE c90 §24B",0,23,"RMV SIGNATURE, FORGE/MISUSE","90","24B","Yes","RMVSIGNATUREFORGEMISUSEc9024B"
"1331","LICENSE, FALSE APPLICATION FOR MV c. 90 s. 24B",0,2,"LICENSE, FALSE APPLICATION FOR MV","90","24B","Yes","LICENSEFALSEAPPLICATIONFORMVc90s24B"
"1332","MOTOR VEH HOMICIDE OUILIQUOR & NEGLIG c90 §24G(a)",8,0,"MOTOR VEH HOMICIDE OUILIQUOR & NEGLIG","90","24G(a)","No","MOTORVEHHOMICIDEOUILIQUORNEGLIGc9024Ga"
"1333","MOTOR VEH HOMICIDE OUIDRUGS & NEGLIG c90 §24G(a)",6,0,"MOTOR VEH HOMICIDE OUIDRUGS & NEGLIG","90","24G(a)","No","MOTORVEHHOMICIDEOUIDRUGSNEGLIGc9024Ga"
"1334","MOTOR VEH HOMICIDE OUI LIQUOR & NEGLIG c90 §24G(a)",0,4,"MOTOR VEH HOMICIDE OUI LIQUOR & NEGLIG","90","24G(a)","No","MOTORVEHHOMICIDEOUILIQUORNEGLIGc9024Ga"
"1335","MOTOR VEH HOMICIDE OUI¿LIQUOR & RECKL c90 §24G(a)",0,3,"MOTOR VEH HOMICIDE OUI¿LIQUOR & RECKL","90","24G(a)","No","MOTORVEHHOMICIDEOUILIQUORRECKLc9024Ga"
"1336","MOTOR VEH HOMICIDE BY NEGLIGENT OP c90 §24G(b)",14,24,"MOTOR VEH HOMICIDE BY NEGLIGENT OP","90","24G(b)","No","MOTORVEHHOMICIDEBYNEGLIGENTOPc9024Gb"
"1337","MOTOR VEH HOMICIDE BY RECKLESS OP c90 §24G(b)",3,12,"MOTOR VEH HOMICIDE BY RECKLESS OP","90","24G(b)","No","MOTORVEHHOMICIDEBYRECKLESSOPc9024Gb"
"1338","MOTOR VEH HOMICIDE OUILIQUOR c90 §24G(b)",2,0,"MOTOR VEH HOMICIDE OUILIQUOR","90","24G(b)","No","MOTORVEHHOMICIDEOUILIQUORc9024Gb"
"1339","MOTOR VEH HOMICIDE OUI¿LIQUOR c90 §24G(b)",0,15,"MOTOR VEH HOMICIDE OUI¿LIQUOR","90","24G(b)","No","MOTORVEHHOMICIDEOUILIQUORc9024Gb"
"1340","MOTOR VEH HOMICIDE OUI¿DRUGS c90 §24G(b)",0,2,"MOTOR VEH HOMICIDE OUI¿DRUGS","90","24G(b)","No","MOTORVEHHOMICIDEOUIDRUGSc9024Gb"
"1341","ABANDONED/STOLEN/CRUSHED MV, UNREGISTERED OR IMPROPER REMOVAL c. 90 s. 24H",0,1,"ABANDONED/STOLEN/CRUSHED MV, UNREGISTERED OR IMPROPER REMOVAL","90","24H","Yes","ABANDONEDSTOLENCRUSHEDMVUNREGISTEREDORIMPROPERREMOVALc90s24H"
"1342","POSSESSION OF OPEN CONTAINER ALCOHOL IN MV c90 §24I",671,0,"POSSESSION OF OPEN CONTAINER ALCOHOL IN MV","90","24I","Yes","POSSESSIONOFOPENCONTAINERALCOHOLINMVc9024I"
"1343","ALCOHOL FROM OPEN CONTAINER IN MV, DRINK c90 §24I",0,527,"ALCOHOL FROM OPEN CONTAINER IN MV, DRINK","90","24I","Yes","ALCOHOLFROMOPENCONTAINERINMVDRINKc9024I"
"1344","POSSESSION OPEN CONTAINER ALCOHOL IN MV c. 90 s. 24I",0,11,"POSSESSION OPEN CONTAINER ALCOHOL IN MV","90","24I","Yes","POSSESSIONOPENCONTAINERALCOHOLINMVc90s24I"
"1345","OUILIQUOR & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",8,0,"OUILIQUOR & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No","OUILIQUORSERIOUSINJURYNEGLIGENTc9024L1"
"1346","OUIDRUGS & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",4,0,"OUIDRUGS & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No","OUIDRUGSSERIOUSINJURYNEGLIGENTc9024L1"
"1347","OUILIQUOR & SERIOUS INJURY & RECKLESS c90 §24L(1)",2,0,"OUILIQUOR & SERIOUS INJURY & RECKLESS","90","24L(1)","No","OUILIQUORSERIOUSINJURYRECKLESSc9024L1"
"1348","OUI¿LIQUOR & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",0,21,"OUI¿LIQUOR & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No","OUILIQUORSERIOUSINJURYNEGLIGENTc9024L1"
"1349","OUI¿DRUGS & SERIOUS INJURY & RECKLESS c90 §24L(1)",0,7,"OUI¿DRUGS & SERIOUS INJURY & RECKLESS","90","24L(1)","No","OUIDRUGSSERIOUSINJURYRECKLESSc9024L1"
"1350","OUI¿LIQUOR & SERIOUS INJURY & RECKLESS c90 §24L(1)",0,4,"OUI¿LIQUOR & SERIOUS INJURY & RECKLESS","90","24L(1)","No","OUILIQUORSERIOUSINJURYRECKLESSc9024L1"
"1351","OUI¿DRUGS & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",0,2,"OUI¿DRUGS & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No","OUIDRUGSSERIOUSINJURYNEGLIGENTc9024L1"
"1352","OUILIQUOR & SERIOUS INJURY c90 §24L(2)",9,0,"OUILIQUOR & SERIOUS INJURY","90","24L(2)","No","OUILIQUORSERIOUSINJURYc9024L2"
"1353","OUIDRUGS & SERIOUS INJURY c90 §24L(2)",2,0,"OUIDRUGS & SERIOUS INJURY","90","24L(2)","No","OUIDRUGSSERIOUSINJURYc9024L2"
"1354","OUI¿LIQUOR & SERIOUS INJURY c90 §24L(2)",0,31,"OUI¿LIQUOR & SERIOUS INJURY","90","24L(2)","No","OUILIQUORSERIOUSINJURYc9024L2"
"1355","OUI¿DRUGS & SERIOUS INJURY c90 §24L(2)",0,26,"OUI¿DRUGS & SERIOUS INJURY","90","24L(2)","No","OUIDRUGSSERIOUSINJURYc9024L2"
"1356","IGNITION INTERLOCK, TAMPER WITH c90/24T(a)",1,0,"IGNITION INTERLOCK, TAMPER WITH","90","24T(a)","No","IGNITIONINTERLOCKTAMPERWITHc9024Ta"
"1357","OUI CHILD ENDANGERMENT, 1ST OFFENSE c90 §24v",0,25,"OUI CHILD ENDANGERMENT, 1ST OFFENSE","90","24v","No","OUICHILDENDANGERMENT1STOFFENSEc9024v"
"1358","STOP FOR POLICE, FAIL c90 §25",347,1514,"STOP FOR POLICE, FAIL","90","25","Yes","STOPFORPOLICEFAILc9025"
"1359","IDENTIFY SELF, MV OPERATOR REFUSE c90 §25",147,662,"IDENTIFY SELF, MV OPERATOR REFUSE","90","25","Yes","IDENTIFYSELFMVOPERATORREFUSEc9025"
"1360","LICENSE/REGIS/PLATES, REFUSE PRODUCE c90 §25",11,113,"LICENSE/REGIS/PLATES, REFUSE PRODUCE","90","25","Yes","LICENSEREGISPLATESREFUSEPRODUCEc9025"
"1361","SIGN NAME, MV OPERATOR REFUSE c90 §25",0,11,"SIGN NAME, MV OPERATOR REFUSE","90","25","Yes","SIGNNAMEMVOPERATORREFUSEc9025"
"1362","LICENSE, REFUSE PRODUCE IN COURT c90 §25",0,1,"LICENSE, REFUSE PRODUCE IN COURT","90","25","Yes","LICENSEREFUSEPRODUCEINCOURTc9025"
"1363","ACCIDENT REPORT, FAIL FILE * c90 §26",3,28,"ACCIDENT REPORT, FAIL FILE *","90","26","Yes","ACCIDENTREPORTFAILFILEc9026"
"1364","NAME/ADDRESS CHANGE, FL NOTIFY RMV OF * c90 §26A",94,46,"NAME/ADDRESS CHANGE, FL NOTIFY RMV OF *","90","26A","Yes","NAMEADDRESSCHANGEFLNOTIFYRMVOFc9026A"
"1365","REGISTRATION LEFT IN TRANSFERRED MV * c90 §2B",0,1,"REGISTRATION LEFT IN TRANSFERRED MV *","90","2B","Yes","REGISTRATIONLEFTINTRANSFERREDMVc902B"
"1366","REGISTER MV OPERATED +30 DAYS YEAR, FL * c90 §3",7,8,"REGISTER MV OPERATED +30 DAYS YEAR, FL *","90","3","Yes","REGISTERMVOPERATED30DAYSYEARFLc903"
"1367","LEASE MV LESSEE FAIL RETURN MV c90 §32C",0,1,"LEASE MV LESSEE FAIL RETURN MV","90","32C","Yes","LEASEMVLESSEEFAILRETURNMVc9032C"
"1368","LEASE MV LESSEE ALLOW UNAUTH PERSON OP c90 §32E",0,7,"LEASE MV LESSEE ALLOW UNAUTH PERSON OP","90","32E","Yes","LEASEMVLESSEEALLOWUNAUTHPERSONOPc9032E"
"1369","LEASE MV OBTAINED BY FRAUD/BAD CHECK c90 §32F",0,2,"LEASE MV OBTAINED BY FRAUD/BAD CHECK","90","32F","Yes","LEASEMVOBTAINEDBYFRAUDBADCHECKc9032F"
"1370","INSURANCE CERTIFICATE, FALSE MV c90 §34B",0,8,"INSURANCE CERTIFICATE, FALSE MV","90","34B","Yes","INSURANCECERTIFICATEFALSEMVc9034B"
"1371","INSURANCE CERTIFICATE, FALSE MOTOR VEH c. 90 s. 34B",0,1,"INSURANCE CERTIFICATE, FALSE MOTOR VEH","90","34B","Yes","INSURANCECERTIFICATEFALSEMOTORVEHc90s34B"
"1372","UNINSURED MOTOR VEHICLE c90 §34J",2499,8036,"UNINSURED MOTOR VEHICLE","90","34J","Yes","UNINSUREDMOTORVEHICLEc9034J"
"1373","UNINSURED MOTOR VEHICLE c. 90 s. 34J",0,8,"UNINSURED MOTOR VEHICLE","90","34J","Yes","UNINSUREDMOTORVEHICLEc90s34J"
"1374","REGISTER MV IMPROPERLY TO AVOID TAXES/PREMIUMS c90 §3½ (c)(2)",2,0,"REGISTER MV IMPROPERLY TO AVOID TAXES/PREMIUMS","90","3½ (c)(2)","Yes","REGISTERMVIMPROPERLYTOAVOIDTAXESPREMIUMSc903c2"
"1375","AIRCRAFT OPERATION, INTERFERE WITH c90 §40",0,27,"AIRCRAFT OPERATION, INTERFERE WITH","90","40","Yes","AIRCRAFTOPERATIONINTERFEREWITHc9040"
"1376","NUMBER PLATE, FALSE APPLIC FOR DEALER c90 §5(g)",0,1,"NUMBER PLATE, FALSE APPLIC FOR DEALER","90","5(g)","Yes","NUMBERPLATEFALSEAPPLICFORDEALERc905g"
"1377","MILITARY MV, USE WITHOUT AUTHORITY c90 §5A",1,0,"MILITARY MV, USE WITHOUT AUTHORITY","90","5A","Yes","MILITARYMVUSEWITHOUTAUTHORITYc905A"
"1378","NUMBER PLATE VIOLATION * c90 §6",390,668,"NUMBER PLATE VIOLATION *","90","6","Yes","NUMBERPLATEVIOLATIONc906"
"1379","NUMBER PLATE, FAIL RETURN REPOSSESSED MV c90 §6C",1,5,"NUMBER PLATE, FAIL RETURN REPOSSESSED MV","90","6C","Yes","NUMBERPLATEFAILRETURNREPOSSESSEDMVc906C"
"1380","LIGHTS VIOLATION, MV * c90 §7",866,1144,"LIGHTS VIOLATION, MV *","90","7","Yes","LIGHTSVIOLATIONMVc907"
"1381","EQUIPMENT VIOLATION, MISCELLANEOUS MV * c90 §7",430,506,"EQUIPMENT VIOLATION, MISCELLANEOUS MV *","90","7","Yes","EQUIPMENTVIOLATIONMISCELLANEOUSMVc907"
"1382","BRAKES VIOLATION, MV * c90 §7",14,158,"BRAKES VIOLATION, MV *","90","7","Yes","BRAKESVIOLATIONMVc907"
"1383","MOTORCYCLE EQUIPMENT VIOLATION * c90 §7",8,82,"MOTORCYCLE EQUIPMENT VIOLATION *","90","7","Yes","MOTORCYCLEEQUIPMENTVIOLATIONc907"
"1384","MOTORCYCLE PASSENGER VIOLATION * c90 §7",1,2,"MOTORCYCLE PASSENGER VIOLATION *","90","7","Yes","MOTORCYCLEPASSENGERVIOLATIONc907"
"1385","HORN VIOLATION, MV * c90 §7",0,1,"HORN VIOLATION, MV *","90","7","Yes","HORNVIOLATIONMVc907"
"1386","SAFETY STANDARDS, MV NOT MEETING RMV * c90 §7A & §20",141,244,"SAFETY STANDARDS, MV NOT MEETING RMV *","90","7A & §20","Yes","SAFETYSTANDARDSMVNOTMEETINGRMVc907A20"
"1387","CHILD UNDER 5 WITHOUT CARSEAT * c90 §7AA",13,89,"CHILD UNDER 5 WITHOUT CARSEAT *","90","7AA","Yes","CHILDUNDER5WITHOUTCARSEATc907AA"
"1388","CHILD 5-12 WITHOUT SEAT BELT * c90 §7AA",7,53,"CHILD 5-12 WITHOUT SEAT BELT *","90","7AA","Yes","CHILD512WITHOUTSEATBELTc907AA"
"1389","SCHOOL BUS OPERATION/EQUIPMENT VIOL * c90 §7B",0,6,"SCHOOL BUS OPERATION/EQUIPMENT VIOL *","90","7B","Yes","SCHOOLBUSOPERATIONEQUIPMENTVIOLc907B"
"1390","SCHOOL BUS, OVERCROWDED c90 §7B",0,3,"SCHOOL BUS, OVERCROWDED","90","7B","Yes","SCHOOLBUSOVERCROWDEDc907B"
"1391","SCHOOL BUS INSPECTION, FAIL PERFORM POST-TRIP * c90 §7B(17)",0,2,"SCHOOL BUS INSPECTION, FAIL PERFORM POST-TRIP *","90","7B(17)","Yes","SCHOOLBUSINSPECTIONFAILPERFORMPOSTTRIPc907B17"
"1392","SPECIAL NEEDS STUDENTS VEH FL ID OWNER * c90 §7CC",0,1,"SPECIAL NEEDS STUDENTS VEH FL ID OWNER *","90","7CC","Yes","SPECIALNEEDSSTUDENTSVEHFLIDOWNERc907CC"
"1393","PUPIL TRANSPORT VEHICLE, OVERCROWDED c90 §7D",0,1,"PUPIL TRANSPORT VEHICLE, OVERCROWDED","90","7D","Yes","PUPILTRANSPORTVEHICLEOVERCROWDEDc907D"
"1394","PUPIL TRANSPORT VEHICLE VIOLATION * c90 §7D",0,1,"PUPIL TRANSPORT VEHICLE VIOLATION *","90","7D","Yes","PUPILTRANSPORTVEHICLEVIOLATIONc907D"
"1395","RED/BLUE LIGHT VIOLATION, MV * c90 §7E",2,5,"RED/BLUE LIGHT VIOLATION, MV *","90","7E","Yes","REDBLUELIGHTVIOLATIONMVc907E"
"1396","HEIGHT, MODIFY MV c90 §7P",2,8,"HEIGHT, MODIFY MV","90","7P","Yes","HEIGHTMODIFYMVc907P"
"1397","HEIGHT, OPERATE MV WITH MODIFIED * c90 §7P",1,10,"HEIGHT, OPERATE MV WITH MODIFIED *","90","7P","Yes","HEIGHTOPERATEMVWITHMODIFIEDc907P"
"1398","HEIGHT, MODIFY MV, 2ND OFFENSE c90 §7P",0,1,"HEIGHT, MODIFY MV, 2ND OFFENSE","90","7P","Yes","HEIGHTMODIFYMV2NDOFFENSEc907P"
"1399","TIRE TREAD DEPTH VIOLATION * c90 §7Q",23,3,"TIRE TREAD DEPTH VIOLATION *","90","7Q","Yes","TIRETREADDEPTHVIOLATIONc907Q"
"1400","VEHICLE ID NUMBER NOT DISPLAYED * c90 §7R",2,1,"VEHICLE ID NUMBER NOT DISPLAYED *","90","7R","Yes","VEHICLEIDNUMBERNOTDISPLAYEDc907R"
"1401","INSPECTION, UNLICENSED MV c90 §7W",2,0,"INSPECTION, UNLICENSED MV","90","7W","Yes","INSPECTIONUNLICENSEDMVc907W"
"1402","JUNIOR OPERATOR WITH PASSENGER UNDER 18 * c90 §8",8,0,"JUNIOR OPERATOR WITH PASSENGER UNDER 18 *","90","8","Yes","JUNIOROPERATORWITHPASSENGERUNDER18c908"
"1403","MILITARY STATUS CHANGE, FAIL REPORT, 2ND c90 §8",0,2,"MILITARY STATUS CHANGE, FAIL REPORT, 2ND","90","8","Yes","MILITARYSTATUSCHANGEFAILREPORT2NDc908"
"1404","JUNIOR OPERATOR OP 12-5 AM W/O PARENT c90 §§8 & 10",7,6,"JUNIOR OPERATOR OP 12-5 AM W/O PARENT","90","8 & 10","Yes","JUNIOROPERATOROP125AMWOPARENTc90810"
"1405","PUPILS, TRANSPORT WITHOUT LICENSE * c90 §8A½",0,2,"PUPILS, TRANSPORT WITHOUT LICENSE *","90","8A½","Yes","PUPILSTRANSPORTWITHOUTLICENSEc908A"
"1406","LEARNERS PERMIT VIOLATION * c90 §8B",2,25,"LEARNERS PERMIT VIOLATION *","90","8B","Yes","LEARNERSPERMITVIOLATIONc908B"
"1407","RMV ID CARD FRAUD c90 §8H",0,5,"RMV ID CARD FRAUD","90","8H","Yes","RMVIDCARDFRAUDc908H"
"1408","RMV ID CARD ADDRESS CHANGE c90 §8J",2,0,"RMV ID CARD ADDRESS CHANGE","90","8J","Yes","RMVIDCARDADDRESSCHANGEc908J"
"1409","UNREGISTERED MOTOR VEHICLE * c90 §9",1496,3649,"UNREGISTERED MOTOR VEHICLE *","90","9","Yes","UNREGISTEREDMOTORVEHICLEc909"
"1410","NUMBER PLATE MISSING * c90 §9",10,57,"NUMBER PLATE MISSING *","90","9","Yes","NUMBERPLATEMISSINGc909"
"1411","SAFETY GLASS VIOLATION * c90 §9A",2,17,"SAFETY GLASS VIOLATION *","90","9A","Yes","SAFETYGLASSVIOLATIONc909A"
"1412","WINDOW OBSTRUCTED/NONTRANSPARENT * c90 §9D",36,394,"WINDOW OBSTRUCTED/NONTRANSPARENT *","90","9D","Yes","WINDOWOBSTRUCTEDNONTRANSPARENTc909D"
"1413","Attaching Plates, c90,s23",2,0,"ATTACHING PLATES,","90,","23","Yes","AttachingPlatesc90s23"
"1414","OUI-2nd or sub offense, c90,s24(1)(a)(1)",1,0,"OUI-2ND OR SUB OFFENSE,","90,","24(1)(a)(1)","No","OUI2ndorsuboffensec90s241a1"
"1415","OUI-3rd Offense, c90,s24(1)(a)(1)",1,0,"OUI-3RD OFFENSE,","90,","24(1)(a)(1)","No","OUI3rdOffensec90s241a1"
"1416","Possession Open Container, c90,s24I",1,0,"POSSESSION OPEN CONTAINER,","90,","24I","Yes","PossessionOpenContainerc90s24I"
"1417","MBOAT REFUSE STOP/ID FOR OFFICER c90B §12",0,1,"MBOAT REFUSE STOP/ID FOR OFFICER","90B","12","Yes","MBOATREFUSESTOPIDFOROFFICERc90B12"
"1418","MBOAT ID NO., OPERATE WITHOUT c90B §2",2,3,"MBOAT ID NO., OPERATE WITHOUT","90B","2","Yes","MBOATIDNOOPERATEWITHOUTc90B2"
"1419","SNOW/REC VEHUNREGISTERED * c90B §21",1,0,"SNOW/REC VEHUNREGISTERED *","90B","21","","SNOWRECVEHUNREGISTEREDc90B21"
"1420","SNOW/REC VEH¿UNREGISTERED * c90B §21",0,2,"SNOW/REC VEH¿UNREGISTERED *","90B","21","Yes","SNOWRECVEHUNREGISTEREDc90B21"
"1421","SNOW/REC VEHREGISTRATION, FL PRODUCE * c90B §22",14,0,"SNOW/REC VEHREGISTRATION, FL PRODUCE *","90B","22","","SNOWRECVEHREGISTRATIONFLPRODUCEc90B22"
"1422","SNOW/REC VEH¿REGISTRATION, FL PRODUCE * c90B §22",0,23,"SNOW/REC VEH¿REGISTRATION, FL PRODUCE *","90B","22","Yes","SNOWRECVEHREGISTRATIONFLPRODUCEc90B22"
"1423","SNOW/REC VEH¿ADDRESS CHANGE, FAIL REPORT * c90B §22",0,1,"SNOW/REC VEH¿ADDRESS CHANGE, FAIL REPORT *","90B","22","Yes","SNOWRECVEHADDRESSCHANGEFAILREPORTc90B22"
"1424","SNOW/REC VEHNOISE VIOLATION * c90B §24",1,0,"SNOW/REC VEHNOISE VIOLATION *","90B","24","","SNOWRECVEHNOISEVIOLATIONc90B24"
"1425","SNOW/REC VEH¿EQUIPMENT VIOLATION * c90B §24",0,5,"SNOW/REC VEH¿EQUIPMENT VIOLATION *","90B","24","Yes","SNOWRECVEHEQUIPMENTVIOLATIONc90B24"
"1426","SNOW/REC VEHPUBLIC WAY, ON c90B §25",15,0,"SNOW/REC VEHPUBLIC WAY, ON","90B","25","Yes","SNOWRECVEHPUBLICWAYONc90B25"
"1427","SNOW/REC VEH¿PUBLIC WAY, ON c90B §25",0,141,"SNOW/REC VEH¿PUBLIC WAY, ON","90B","25","Yes","SNOWRECVEHPUBLICWAYONc90B25"
"1428","SNOW/REC VEH,PUBLIC WAY, ON c. 90B s. 25",0,1,"SNOW/REC VEH,PUBLIC WAY, ON","90B","25","Yes","SNOWRECVEHPUBLICWAYONc90Bs25"
"1429","SNOW/REC VEHHELMET VIOLATION * c90B §26",7,0,"SNOW/REC VEHHELMET VIOLATION *","90B","26","","SNOWRECVEHHELMETVIOLATIONc90B26"
"1430","SNOW/REC VEHUNSAFE OPERATION * c90B §26",4,0,"SNOW/REC VEHUNSAFE OPERATION *","90B","26","","SNOWRECVEHUNSAFEOPERATIONc90B26"
"1431","SNOW/REC VEHUNDER 14 OPERATE UNSUPERVSD c90B §26",2,0,"SNOW/REC VEHUNDER 14 OPERATE UNSUPERVSD","90B","26","","SNOWRECVEHUNDER14OPERATEUNSUPERVSDc90B26"
"1432","SNOW/REC VEHOUILIQUOR * c90B §26",1,0,"SNOW/REC VEHOUILIQUOR *","90B","26","","SNOWRECVEHOUILIQUORc90B26"
"1433","SNOW VEHPRIVATE PROPERTY, ON * c90B §26",1,0,"SNOW VEHPRIVATE PROPERTY, ON *","90B","26","","SNOWVEHPRIVATEPROPERTYONc90B26"
"1434","SNOW/REC VEH¿HELMET VIOLATION * c90B §26",0,35,"SNOW/REC VEH¿HELMET VIOLATION *","90B","26","Yes","SNOWRECVEHHELMETVIOLATIONc90B26"
"1435","SNOW/REC VEH¿UNSAFE OPERATION * c90B §26",0,8,"SNOW/REC VEH¿UNSAFE OPERATION *","90B","26","Yes","SNOWRECVEHUNSAFEOPERATIONc90B26"
"1436","SNOW/REC VEH¿FIREARM, OP WHILE CARRY * c90B §26",0,4,"SNOW/REC VEH¿FIREARM, OP WHILE CARRY *","90B","26","Yes","SNOWRECVEHFIREARMOPWHILECARRYc90B26"
"1437","SNOW VEH¿PRIVATE PROPERTY, ON * c90B §26",0,1,"SNOW VEH¿PRIVATE PROPERTY, ON *","90B","26","Yes","SNOWVEHPRIVATEPROPERTYONc90B26"
"1438","MBOAT ID NO., FAIL DISPLAY c90B §3(a)",2,0,"MBOAT ID NO., FAIL DISPLAY","90B","3(a)","Yes","MBOATIDNOFAILDISPLAYc90B3a"
"1439","MBOAT ID NO. CERTIF, FAIL POSSESS c90B §3(a)",0,1,"MBOAT ID NO. CERTIF, FAIL POSSESS","90B","3(a)","Yes","MBOATIDNOCERTIFFAILPOSSESSc90B3a"
"1440","MBOAT ID NO., DISPLAY WRONG c90B §3(j)",2,0,"MBOAT ID NO., DISPLAY WRONG","90B","3(j)","Yes","MBOATIDNODISPLAYWRONGc90B3j"
"1441","SNOW/REC VEHSTOP FOR POLICE, FAIL * c90B §32",1,0,"SNOW/REC VEHSTOP FOR POLICE, FAIL *","90B","32","","SNOWRECVEHSTOPFORPOLICEFAILc90B32"
"1442","BOAT, REFUSE STOP/ID FOR OFFICER c90B §38",0,2,"BOAT, REFUSE STOP/ID FOR OFFICER","90B","38","Yes","BOATREFUSESTOPIDFOROFFICERc90B38"
