"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"1258","FIREARM, CARRY W/ AMMUNITION c. 269 s. 10(n)",0,364,"FIREARM, CARRY W/ AMMUNITION","269","10(n)","Yes",0,0,NA
"1259","AMMUNITION, POSSESS WO FID CARD c269 §10/TT",0,1816,"AMMUNITION, POSSESS WO FID CARD","269","10/TT","",0,0,NA
"1260","AMMUNITION, POSSESS WO FID CARD, SUBSQ.OFF. c269 §10/TT",0,82,"AMMUNITION, POSSESS WO FID CARD, SUBSQ.OFF.","269","10/TT","",0,0,NA
"1261","SILENCER, SELL/USE/POSSESS FIREARM c269 §10A",2,6,"SILENCER, SELL/USE/POSSESS FIREARM","269","10A","",0,0,NA
"1262","TEAR GAS/MACE, USE IN CRIME c269 §10C",0,3,"TEAR GAS/MACE, USE IN CRIME","269","10C","",0,0,NA
"1263","BODY ARMOR, USE IN FELONY c269 §10D",3,8,"BODY ARMOR, USE IN FELONY","269","10D","No",0,0,NA
"1264","FIREARMS, TRAFFICKING IN 3-9 c269 §10E",0,20,"FIREARMS, TRAFFICKING IN 3-9","269","10E","No",0,0,NA
"1265","FIREARMS, TRAFFICKING IN +19 c269 §10E",0,5,"FIREARMS, TRAFFICKING IN +19","269","10E","No",0,0,NA
"1266","FIREARM, CARRYING LOADED c269 §10EE",0,2035,"FIREARM, CARRYING LOADED","269","10EE","",0,0,NA
"1267","FIREARM, SELL/TRANSFER LARGE CAPACITY c269 §10F(a)",0,6,"FIREARM, SELL/TRANSFER LARGE CAPACITY","269","10F(a)","",0,0,NA
"1268","FIREARM TO MINOR, SELL/TRANSFER LARGE CAPACITY c269 §10F(b)",0,2,"FIREARM TO MINOR, SELL/TRANSFER LARGE CAPACITY","269","10F(b)","",0,0,NA
"1269","FIREARM VIOL WITH 1 PRIOR VIOLENT/DRUG CRIME c269 §10G(a)",11,295,"FIREARM VIOL WITH 1 PRIOR VIOLENT/DRUG CRIME","269","10G(a)","",0,0,NA
"1270","FIREARM VIOL WITH 2 PRIOR VIOLENT/DRUG CRIMES c269 §10G(b)",11,154,"FIREARM VIOL WITH 2 PRIOR VIOLENT/DRUG CRIMES","269","10G(b)","",0,0,NA
"1271","FIREARM VIOL WITH 3 PRIOR VIOLENT/DRUG CRIMES c269 §10G(c)",8,217,"FIREARM VIOL WITH 3 PRIOR VIOLENT/DRUG CRIMES","269","10G(c)","",0,0,NA
"1272","FIREARM, INTOXICATED LICENSEE CARRY c269 §10H",29,36,"FIREARM, INTOXICATED LICENSEE CARRY","269","10H","",0,0,NA
"1273","AMMUNITION, POSSESSION OF c. 269 s. 10H",0,4,"AMMUNITION, POSSESSION OF","269","10H","",0,0,NA
"1274","FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF, C269,S10(a)(d)(n)",1,0,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF, C269,S10(A)(D)(N)","269,","10(a)(d)(n)","",0,0,NA
"1275","FIREARM W/DEFACED NO., POSSESS IN FELONY c269 §11B",5,75,"FIREARM W/DEFACED NO., POSSESS IN FELONY","269","11B","Yes",0,0,NA
"1276","FIREARM SERIAL NO., DEFACE c269 §11C",10,203,"FIREARM SERIAL NO., DEFACE","269","11C","Yes",0,0,NA
"1277","FIREARM W/DEFACED NO., RECEIVE c269 §11C",1,179,"FIREARM W/DEFACED NO., RECEIVE","269","11C","Yes",0,0,NA
"1278","BB GUN/AIR RIFLE, DISCHARGE ON WAY c269 §12B",8,6,"BB GUN/AIR RIFLE, DISCHARGE ON WAY","269","12B","Yes",0,0,NA
"1279","BB GUN/AIR RIFLE, MINOR POSSESS c269 §12B",2,3,"BB GUN/AIR RIFLE, MINOR POSSESS","269","12B","Yes",0,0,NA
"1280","BB GUN/AIR RIFLE, MINOR DISCHARGE c269 §12B",1,0,"BB GUN/AIR RIFLE, MINOR DISCHARGE","269","12B","Yes",0,0,NA
"1281","RIFLE/SHOTGUN ON WAY, CARRY LOADED c269 §12D",0,1,"RIFLE/SHOTGUN ON WAY, CARRY LOADED","269","12D","",0,0,NA
"1282","RIFLE/SHOTGUN ON WAY, CARRY LOADED c269 §12D(a)",1,4,"RIFLE/SHOTGUN ON WAY, CARRY LOADED","269","12D(a)","Yes",0,0,NA
"1283","FIREARM ON WAY, CARRY LOADED LARGE CAPACITY c269 §12D(a)",0,5,"FIREARM ON WAY, CARRY LOADED LARGE CAPACITY","269","12D(a)","Yes",0,0,NA
"1284","RIFLE/SHOTGUN ON WAY, CARRY LOADED c. 269 s. 12D(a)",0,1,"RIFLE/SHOTGUN ON WAY, CARRY LOADED","269","12D(a)","Yes",0,0,NA
"1285","RIFLE/SHOTGUN ON WAY, CARRY UNLOADED c269 §12D(b)",2,5,"RIFLE/SHOTGUN ON WAY, CARRY UNLOADED","269","12D(b)","Yes",0,0,NA
"1286","FIREARM ON WAY, CARRY UNLOADED LARGE CAPACITY c269 §12D(b)",0,1,"FIREARM ON WAY, CARRY UNLOADED LARGE CAPACITY","269","12D(b)","Yes",0,0,NA
"1287","FIREARM, DISCHARGE WITHIN 500 FT OF BLDG c269 §12E",23,310,"FIREARM, DISCHARGE WITHIN 500 FT OF BLDG","269","12E","Yes",0,0,NA
"1288","FIREARM, DISCHARGE WITHIN 500 FT OF BLDG c. 269 s. 12E",0,1,"FIREARM, DISCHARGE WITHIN 500 FT OF BLDG","269","12E","Yes",0,0,NA
"1289","AIRPORT SECURITY VIOLATION c269 §12F",0,17,"AIRPORT SECURITY VIOLATION","269","12F","",0,0,NA
"1290","FIRE ALARM, FALSE c269 §13",6,63,"FIRE ALARM, FALSE","269","13","Yes",0,0,NA
"1291","CRIME REPORT, FALSE c269 §13A",38,116,"CRIME REPORT, FALSE","269","13A","Yes",0,0,NA
"1292","BOMB THREAT, FALSE c269 §14(a)",8,41,"BOMB THREAT, FALSE","269","14(a)","",0,0,NA
"1293","BOMB/HIJACK THREAT WITH SERIOUS PUBLIC ALARM c269 §14(c)",0,25,"BOMB/HIJACK THREAT WITH SERIOUS PUBLIC ALARM","269","14(c)","Yes",0,0,NA
"1294","THREATENED USE OR PRESENCE OF DEADLY DEVICE OR SUBSTANCE c269 §14(c)",0,8,"THREATENED USE OR PRESENCE OF DEADLY DEVICE OR SUBSTANCE","269","14(c)","Yes",0,0,NA
"1295","TELEPHONE CALLS, ANNOYING c269 §14A",34,415,"TELEPHONE CALLS, ANNOYING","269","14A","Yes",0,0,NA
"1296","TELEPHONE CALLS, OBSCENE c269 §14A",4,9,"TELEPHONE CALLS, OBSCENE","269","14A","Yes",0,0,NA
"1297","FALSE OR SILENT 911 CALL, MAKING c269 §14B",0,15,"FALSE OR SILENT 911 CALL, MAKING","269","14B","Yes",0,0,NA
"1298","POSSESS AMMUNITION WITHOUT FID CARD c269 §10(h)(1)",87,0,"POSSESS AMMUNITION WITHOUT FID CARD","269","10(h)(1)","Yes",0,0,NA
"1299","POSSESS AMMO WITHOUT FID CARD c269§10(h)(1)",30,0,"POSSESS AMMO WITHOUT FID CARD","269","10(h)(1)","Yes",0,0,NA
"1300","FIREARMS, DISTRIBUTION OF c269 §10E(1)",0,1,"FIREARMS, DISTRIBUTION OF","269","10E(1)","",0,0,NA
"1301","AMMUNITION UNATTENDED c269 §10(h)(2)",0,2,"AMMUNITION UNATTENDED","269","10(h)(2)","Yes",0,0,NA
"1302","HARMFUL SUBSTANCE, PEDDLE c270 §3",0,21,"HARMFUL SUBSTANCE, PEDDLE","270","3","",0,0,NA
"1303","CIGARETTES TO MINOR, DELIVER c270 §6",0,1,"CIGARETTES TO MINOR, DELIVER","270","6","",0,0,NA
"1304","ARSENIC TEST, FAIL FURNISH SAMPLE FOR c270 §11",0,1,"ARSENIC TEST, FAIL FURNISH SAMPLE FOR","270","11","",0,0,NA
"1305","TRASH, LITTER c270 §16",25,29,"TRASH, LITTER","270","16","",0,0,NA
"1306","TRASH, LITTER FROM MV c270 §16",25,32,"TRASH, LITTER FROM MV","270","16","",0,0,NA
"1307","TRASH, DUMP FROM MV +7 CU FT c270 §16",9,2,"TRASH, DUMP FROM MV +7 CU FT","270","16","",0,0,NA
"1308","GLUE/TOXIC SUBSTANCE, INHALE c270 §18",18,18,"GLUE/TOXIC SUBSTANCE, INHALE","270","18","Yes",0,0,NA
"1309","GAMING IN PUBLIC/TRESPASSING c271 §2",0,4,"GAMING IN PUBLIC/TRESPASSING","271","2","",0,0,NA
"1310","GAMING HOUSE, KEEP COMMON c271 §5",0,5,"GAMING HOUSE, KEEP COMMON","271","5","",0,0,NA
"1311","LOTTERY, SET UP/PROMOTE c271 §7",0,5,"LOTTERY, SET UP/PROMOTE","271","7","",0,0,NA
"1312","LOTTERY, SET UP/PROMOTE, SUBSQ.OFF. c271 §7",0,1,"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF.","271","7","",0,0,NA
"1313","RAFFLE/BAZAAR VIOLATION c271 §7A",0,1,"RAFFLE/BAZAAR VIOLATION","271","7A","",0,0,NA
"1314","GAMING ENTERPRISE, MANAGE c271 §16A",0,3,"GAMING ENTERPRISE, MANAGE","271","16A","",0,0,NA
"1315","BETTING, TAKE/ALLOW/PRESENT AT c271 §17",0,9,"BETTING, TAKE/ALLOW/PRESENT AT","271","17","",0,0,NA
"1316","BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF c271 §17",0,1,"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF","271","17","",0,0,NA
"1317","THREAT, BUSINESS c271 §39(a)",0,1,"THREAT, BUSINESS","271","39(a)","Yes",0,0,NA
"1318","USURY c271 §49(a) or (b)",0,14,"USURY","271","49(a) or (b)","",0,0,NA
"1319","MARRIAGE, ABDUCT PERSON -16 FOR SECRET c. 272 s. 1",0,2,"MARRIAGE, ABDUCT PERSON -16 FOR SECRET","272","1","",0,0,NA
"1320","PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR c272 §2",0,3,"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR","272","2","No",1,0,NA
"1321","PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR c. 272 s. 2",0,2,"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR","272","2","No",1,0,NA
"1322","SEXUAL INTERCOURSE, DRUG FOR c272 §3",2,3,"SEXUAL INTERCOURSE, DRUG FOR","272","3","No",1,0,NA
"1323","SEXUAL INTERCOURSE, INDUCE CHASTE MINOR c272 §4",1,1,"SEXUAL INTERCOURSE, INDUCE CHASTE MINOR","272","4","No",1,0,NA
"1324","PROSTITUTION, INDUCE MINOR TO c272 §4A",0,9,"PROSTITUTION, INDUCE MINOR TO","272","4A","No",1,0,NA
"1325","PROSTITUTION, DERIVE SUPPORT FROM CHILD c272 §4B",0,3,"PROSTITUTION, DERIVE SUPPORT FROM CHILD","272","4B","No",1,0,NA
"1326","PROSTITUTION, MAINTAIN HOUSE OF c272 §6",0,11,"PROSTITUTION, MAINTAIN HOUSE OF","272","6","",0,0,NA
"1327","PROSTITUTION, DERIVE SUPPORT FROM c272 §7",15,76,"PROSTITUTION, DERIVE SUPPORT FROM","272","7","Yes",0,0,NA
"1328","PROSTITUTION, DERIVE SUPPORT FROM c. 272 s. 7",0,1,"PROSTITUTION, DERIVE SUPPORT FROM","272","7","Yes",0,0,NA
"1329","PROSTITUTE, SOLICIT FOR c272 §8",2,12,"PROSTITUTE, SOLICIT FOR","272","8","Yes",0,0,NA
"1330","PROSTITUTION, PROCURE PERSON TO PRACTICE c272 §12",0,4,"PROSTITUTION, PROCURE PERSON TO PRACTICE","272","12","Yes",0,0,NA
"1331","PROSTITUTION, PROCURE PERSON TO PRACTICE c. 272 s. 12",0,1,"PROSTITUTION, PROCURE PERSON TO PRACTICE","272","12","Yes",0,0,NA
"1332","LEWDNESS, OPEN AND GROSS c272 §16",60,624,"LEWDNESS, OPEN AND GROSS","272","16","Yes",1,0,"not subsequent"
"1333","LEWDNESS, OPEN AND GROSS, SUBSQ.OFF.  c272 §16",8,0,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF. ","272","16","No",1,0,"subsequent"
"1334","LEWDNESS, OPEN AND GROSS, HABITUAL  c272 §16",4,0,"LEWDNESS, OPEN AND GROSS, HABITUAL ","272","16","No",1,0,"subsequent"
"1335","LEWDNESS, OPEN AND GROSS, SUBSQ.OFF. c272 §16",0,21,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF.","272","16","No",1,0,"subsequent"
"1336","LEWDNESS, OPEN AND GROSS c. 272 s. 16",0,2,"LEWDNESS, OPEN AND GROSS","272","16","Yes",1,0,"not subsequent"
"1337","INCEST c272 §17",5,16,"INCEST","272","17","No",1,0,NA
"1338","PROSTITUTION, KEEP HOUSE OF c272 §24",11,16,"PROSTITUTION, KEEP HOUSE OF","272","24","",0,0,NA
"1339","OBSCENE MATTER TO MINOR c272 §28",40,88,"OBSCENE MATTER TO MINOR","272","28","No",1,0,NA
"1340","OBSCENE MATTER TO MINOR, 2ND OFF. c272 §28",1,0,"OBSCENE MATTER TO MINOR, 2ND OFF.","272","28","No",1,0,NA
"1341","OBSCENE MATTER, DISTRIBUTE c272 §29",14,41,"OBSCENE MATTER, DISTRIBUTE","272","29","Yes",0,0,NA
"1342","CHILD IN NUDE, LASCIVIOUS POSE/EXHIBIT c272 §29A(a)",33,64,"CHILD IN NUDE, LASCIVIOUS POSE/EXHIBIT","272","29A(a)","No",1,0,NA
"1343","CHILD IN SEXUAL ACT, POSE/EXHIBIT c272 §29A(b)",4,4,"CHILD IN SEXUAL ACT, POSE/EXHIBIT","272","29A(b)","No",1,0,NA
"1344","CHILD IN NUDE, DISTRIB MATERIAL OF c272 §29B(a)",37,79,"CHILD IN NUDE, DISTRIB MATERIAL OF","272","29B(a)","No",1,0,NA
"1345","CHILD IN SEXUAL ACT, DISTRIB MATERIAL OF c272 §29B(b)",9,17,"CHILD IN SEXUAL ACT, DISTRIB MATERIAL OF","272","29B(b)","No",1,0,NA
"1346","CHILD PORNOGRAPHY, POSSESS c272 §29C",144,184,"CHILD PORNOGRAPHY, POSSESS","272","29C","No",1,0,NA
"1347","CHILD PORNOGRAPHY, POSSESS, 2ND OFF.  c272 §29C",2,0,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF. ","272","29C","No",1,0,NA
"1348","CHILD PORNOGRAPHY, POSSESS, 2ND OFF. c272 §29C",0,9,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF.","272","29C","No",1,0,NA
"1349","CHILD PORNOGRAPHY, POSSESS, 3RD OFF. c272 §29C",0,2,"CHILD PORNOGRAPHY, POSSESS, 3RD OFF.","272","29C","No",1,0,NA
"1350","BESTIALITY c272 §34",0,2,"BESTIALITY","272","34","Yes",0,0,NA
"1351","SODOMY c272 §34",0,2,"SODOMY","272","34","Yes",0,0,NA
"1352","UNNATURAL ACT c272 §35",4,2,"UNNATURAL ACT","272","35","Yes",0,0,NA
"1353","UNNATURAL ACT WITH CHILD -16 c272 §35A",63,2,"UNNATURAL ACT WITH CHILD -16","272","35A","No",1,0,NA
"1354","RELIGIOUS SERVICE, DISTURB c272 §38",0,1,"RELIGIOUS SERVICE, DISTURB","272","38","",0,0,NA
"1355","SCHOOL, DISTURB c272 §40",117,24,"SCHOOL, DISTURB","272","40","Yes",0,0,NA
"1356","PUBLIC ASSEMBLY, DISTURB c272 §40",2,39,"PUBLIC ASSEMBLY, DISTURB","272","40","Yes",0,0,NA
"1357","SCHOOL, POSSESS LIQUOR IN c272 §40A",0,1,"SCHOOL, POSSESS LIQUOR IN","272","40A","Yes",0,0,NA
"1358","FUNERAL PROCESSION, DISTURB c272 §42",0,6,"FUNERAL PROCESSION, DISTURB","272","42","",0,0,NA
"1359","FUNERAL SERVICE, DISTURB c272 §42A",0,1,"FUNERAL SERVICE, DISTURB","272","42A","",0,0,NA
"1360","DISORDERLY CONDUCT ON PUBLIC CONVEYANCE c272 §43",1,32,"DISORDERLY CONDUCT ON PUBLIC CONVEYANCE","272","43","Yes",0,0,NA
"1361","DISORDERLY CONDUCT ON PUB CONVEY,3RD OFF c272 §43",0,1,"DISORDERLY CONDUCT ON PUB CONVEY,3RD OFF","272","43","Yes",0,0,NA
"1362","SMOKING ON MBTA c272 §43A",0,7,"SMOKING ON MBTA","272","43A","Yes",0,0,NA
"1363","DISORDERLY CONDUCT c272 §53",1377,5902,"DISORDERLY CONDUCT","272","53","Yes",0,0,"not sex-related"
"1364","DISTURBING THE PEACE c272 §53",403,1870,"DISTURBING THE PEACE","272","53","Yes",0,0,"not sex-related"
"1365","INDECENT EXPOSURE c272 §53",68,424,"INDECENT EXPOSURE","272","53","No",1,0,"sex-related"
"1366","ACCOST/ANNOY PERSON OF OPPOSITE SEX c272 §53",37,113,"ACCOST/ANNOY PERSON OF OPPOSITE SEX","272","53","No",1,0,"sex-related"
"1367","NOISY & DISORDERLY HOUSE, KEEP c272 §53",15,279,"NOISY & DISORDERLY HOUSE, KEEP","272","53","Yes",0,0,"not sex-related"
"1368","LEWD, WANTON & LASCIVIOUS CONDUCT c272 §53",14,174,"LEWD, WANTON & LASCIVIOUS CONDUCT","272","53","No",1,0,"sex-related"
"1369","NIGHTWALKER, COMMON c272 §53",0,75,"NIGHTWALKER, COMMON","272","53","Yes",0,0,"not sex-related"
"1370","STREETWALKER, COMMON c272 §53",0,10,"STREETWALKER, COMMON","272","53","Yes",0,0,"not sex-related"
"1371","DISORDERLY CONDUCT, SUBSQ. OFF. c272 §53",0,5,"DISORDERLY CONDUCT, SUBSQ. OFF.","272","53","Yes",0,0,"not sex-related"
"1372","NIGHTWALKER, COMMON, 3RD OFFENSE c272 §53",0,5,"NIGHTWALKER, COMMON, 3RD OFFENSE","272","53","Yes",0,0,"not sex-related"
"1373","DISORDERLY CONDUCT c. 272 s. 53",0,4,"DISORDERLY CONDUCT","272","53","Yes",0,0,"not sex-related"
"1374","DISTURBING THE PEACE, SUBSQ. OFF. c272 §53",0,3,"DISTURBING THE PEACE, SUBSQ. OFF.","272","53","Yes",0,0,"not sex-related"
"1375","SEXUAL CONDUCT FOR FEE c272 §53A",14,404,"SEXUAL CONDUCT FOR FEE","272","53A","",1,0,NA
"1376","SEXUAL CONDUCT, PAY FOR c272 §53A",1,168,"SEXUAL CONDUCT, PAY FOR","272","53A","",1,0,NA
"1377","SEXUAL CONDUCT, PAY FOR OR FOR FEE c. 272 s. 53A",0,2,"SEXUAL CONDUCT, PAY FOR OR FOR FEE","272","53A","",1,0,NA
"1378","TRAMP, THREATS BY c272 §64",0,1,"TRAMP, THREATS BY","272","64","",0,0,NA
"1379","GRAVESTONE, VANDALIZE c272 §73",1,3,"GRAVESTONE, VANDALIZE","272","73","",0,0,NA
"1380","GRAVE PLANTING, VANDALIZE c272 §73",1,1,"GRAVE PLANTING, VANDALIZE","272","73","",0,0,NA
"1381","GRAVE, DISTURB c272 §73",0,2,"GRAVE, DISTURB","272","73","",0,0,NA
"1382","CEMETERY, VANDALIZE c272 §74",1,0,"CEMETERY, VANDALIZE","272","74","",0,0,NA
"1383","GRAVE FLOWERS/FLAG/TOKEN, REMOVE c272 §75",3,0,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE","272","75","",0,0,NA
"1384","ANIMAL, CRUELTY TO c272 §77",68,101,"ANIMAL, CRUELTY TO","272","77","Yes",0,0,NA
"1385","ANIMAL, CRUELTY TO BY CUSTODIAN c272 §77",2,6,"ANIMAL, CRUELTY TO BY CUSTODIAN","272","77","Yes",0,0,NA
"1386","POLICE HORSE/DOG, MISTREAT/INTERFERE c272 §77A",5,3,"POLICE HORSE/DOG, MISTREAT/INTERFERE","272","77A","Yes",0,0,NA
"1387","ANIMAL FIGHT, KEEP/PROMOTE c272 §94",0,1,"ANIMAL FIGHT, KEEP/PROMOTE","272","94","Yes",0,0,NA
"1388","PHOTOGRAPH, UNSUSPECTING NUDE PERSON c272 §104/B",0,32,"PHOTOGRAPH, UNSUSPECTING NUDE PERSON","272","104/B","",0,0,NA
"1389","PHOTOGRAPH, SECRETLY NUDE PERSON c272 §105",0,12,"PHOTOGRAPH, SECRETLY NUDE PERSON","272","105","",0,0,NA
"1390","PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART c272 §105",0,11,"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART","272","105","",0,0,NA
"1391","PHOTOGRAPH UNSUSPECTING NUDE PERSON c272 s105(b)",38,0,"PHOTOGRAPH UNSUSPECTING NUDE PERSON","272","105(b)","Yes",0,0,NA
"1392","PHOTOGRAPH OF UNSUSPECTING NUDE PERSON, DISSEMINATE c272 s105(c)",7,0,"PHOTOGRAPH OF UNSUSPECTING NUDE PERSON, DISSEMINATE","272","105(c)","Yes",0,0,NA
"1393","WIRETAP, UNLAWFUL c272 §99(C)(1)",11,19,"WIRETAP, UNLAWFUL","272","99(C)(1)","",0,0,NA
"1394","WIRETAP, UNLAWFUL, ATTEMPT c272 §99(C)(1)",1,1,"WIRETAP, UNLAWFUL, ATTEMPT","272","99(C)(1)","",0,0,NA
"1395","WIRETAP, POSSESS DEVICE FOR c272 §99(C)(5)",3,3,"WIRETAP, POSSESS DEVICE FOR","272","99(C)(5)","",0,0,NA
"1396","WIRETAP, DISCLOSE CONTENTS OF c272 §99(C)(3) or (4)",2,0,"WIRETAP, DISCLOSE CONTENTS OF","272","99(C)(3) or (4)","",0,0,NA
"1397","ACCESSORY BEFORE THE FACT c274 §2",5,10,"ACCESSORY BEFORE THE FACT","274","2","Yes",0,0,NA
"1398","ACCESSORY AFTER THE FACT c274 §4",26,83,"ACCESSORY AFTER THE FACT","274","4","Yes",0,0,NA
"1399","ACCESSORY AFTER THE FACT c. 274 s. 4",0,2,"ACCESSORY AFTER THE FACT","274","4","Yes",0,0,NA
"1400","ATTEMPT TO COMMIT CRIME c274 §6",218,1503,"ATTEMPT TO COMMIT CRIME","274","6",NA,0,0,"not punishable by death"
"1401","ATTEMPT TO COMMIT CRIME, HABITUAL c274 §6",2,0,"ATTEMPT TO COMMIT CRIME, HABITUAL","274","6",NA,0,0,"not punishable by death"
"1402","ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH c. 274 s. 6",0,2,"ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH","274","6","No",0,0,"punishable by death"
"1403","ATTEMPT TO COMMIT CRIME c. 274 s. 6 - Larceny",0,5,"ATTEMPT TO COMMIT CRIME","274","6 - Larceny","",0,0,NA
"1404","CONSPIRACY c274 §7",331,222,"CONSPIRACY","274","7","",0,0,NA
"1405","ATTEMPT TO COMMIT CRIME c. 274 s. 6 - 5 year felony or greater",0,3,"ATTEMPT TO COMMIT CRIME","274","6 - 5 year felony or greater","",0,0,NA
"1406","THREAT TO COMMIT CRIME c275 §2",496,6967,"THREAT TO COMMIT CRIME","275","2","Yes",0,0,NA
"1407","THREAT TO COMMIT CRIME c. 275 s. 2",0,15,"THREAT TO COMMIT CRIME","275","2","Yes",0,0,NA
"1408","AFFRAY c. 275 s. 14",0,99,"AFFRAY","275","14","",0,0,NA
"1409","FUGITIVE FROM JUSTICE ON GOV'S WARRANT c276 §19",2,31,"FUGITIVE FROM JUSTICE ON GOV'S WARRANT","276","19","Yes",0,0,NA
"1410","FUGITIVE, FAIL BRING BEFORE COURT c276 §19",1,0,"FUGITIVE, FAIL BRING BEFORE COURT","276","19","Yes",0,0,NA
"1411","FUGITIVE FROM JUSTICE ON COURT WARRANT c276 §20A",198,735,"FUGITIVE FROM JUSTICE ON COURT WARRANT","276","20A","",0,0,NA
"1412","FUGITIVE FROM JUSTICE WITHOUT WARRANT c276 §20B",4,204,"FUGITIVE FROM JUSTICE WITHOUT WARRANT","276","20B","",0,0,NA
"1413","RECOGNIZANCE, FAIL APPEAR UPON c276 §82A",14,18,"RECOGNIZANCE, FAIL APPEAR UPON","276","82A","Yes",0,0,NA
"1414","Solicitation to Commit a Felony C279S5",2,0,"SOLICITATION TO COMMIT A FELONY C279S5","279","5","",0,0,NA
"1415","HABITUAL OFFENDER c279 §25",0,4,"HABITUAL OFFENDER","279","25","",0,0,NA
"1416","FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00",5,0,"FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00","321","3.00","",0,0,NA
"1417","MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00",0,2,"MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00","322","6.00","",0,0,NA
"1418","MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07",0,5,"MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07","322","6.07","",0,0,NA
"1419","MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00",0,1,"MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00","322","8.00","",0,0,NA
"1420","MBOAT EQUIPMENT VIOLATION 323 CMR §2.06",0,1,"MBOAT EQUIPMENT VIOLATION 323 CMR §2.06","323","2.06","",0,0,NA
"1421","MBOAT OPERATION VIOLATION 323 CMR §2.07",6,5,"MBOAT OPERATION VIOLATION 323 CMR §2.07","323","2.07","",0,0,NA
"1422","SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03",1,4,"SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03","323","3.03","",0,0,NA
"1423","SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05",0,1,"SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05","323","3.05","",0,0,NA
"1424","SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07",0,2,"SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07","323","3.07","",0,0,NA
"1425","JET SKI VIOLATION 323 CMR §4.03",2,0,"JET SKI VIOLATION 323 CMR §4.03","323","4.03","",0,0,NA
"1426","PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03",1,0,"PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03","324","2.03","",0,0,NA
"1427","MDC WAYHITCHHIKE 350 CMR §4.01",1,0,"MDC WAYHITCHHIKE 350 CMR §4.01","350","4.01","",0,0,NA
"1428","MDC WAY¿$100 VIOLATION * 350 CMR §4.01",0,44,"MDC WAY¿$100 VIOLATION * 350 CMR §4.01","350","4.01","",0,0,NA
"1429","MDC WAY¿$200 VIOLATION * 350 CMR §4.01",0,18,"MDC WAY¿$200 VIOLATION * 350 CMR §4.01","350","4.01","",0,0,NA
"1430","MDC WAY¿$50 VIOLATION * 350 CMR §4.01",0,3,"MDC WAY¿$50 VIOLATION * 350 CMR §4.01","350","4.01","",0,0,NA
"1431","MDC WAY¿$25 VIOLATION * 350 CMR §4.01",0,1,"MDC WAY¿$25 VIOLATION * 350 CMR §4.01","350","4.01","",0,0,NA
"1432","MDC WAY¿SPEEDING * 350 CMR §4.01",0,1,"MDC WAY¿SPEEDING * 350 CMR §4.01","350","4.01","",0,0,NA
"1433","MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09",61,0,"MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09","350","11.09","",0,0,NA
"1434","MDC WATERSHEDMV VIOLATION  350 CMR §11.09",19,0,"MDC WATERSHEDMV VIOLATION  350 CMR §11.09","350","11.09","",0,0,NA
"1435","MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09",0,55,"MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09","350","11.09","",0,0,NA
"1436","MDC WATERSHED¿MV VIOLATION 350 CMR §11.09",0,5,"MDC WATERSHED¿MV VIOLATION 350 CMR §11.09","350","11.09","",0,0,NA
