"","X","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder"
"1317",869,"TELEPHONE CALLS, OBSCENE c269 §14A",4,9,"TELEPHONE CALLS, OBSCENE","269","14A","Yes",0,0
"1318",870,"FALSE OR SILENT 911 CALL, MAKING c269 §14B",0,15,"FALSE OR SILENT 911 CALL, MAKING","269","14B","Yes",0,0
"1319",819,"POSSESS AMMUNITION WITHOUT FID CARD c269 §10(h)(1)",87,0,"POSSESS AMMUNITION WITHOUT FID CARD","269","10(h)(1)","Yes",0,0
"1320",820,"POSSESS AMMO WITHOUT FID CARD c269§10(h)(1)",30,0,"POSSESS AMMO WITHOUT FID CARD","269","10(h)(1)","Yes",0,0
"1321",839,"FIREARMS, DISTRIBUTION OF c269 §10E(1)",0,1,"FIREARMS, DISTRIBUTION OF","269","10E(1)","",0,0
"1322",821,"AMMUNITION UNATTENDED c269 §10(h)(2)",0,2,"AMMUNITION UNATTENDED","269","10(h)(2)","Yes",0,0
"1323",879,"HARMFUL SUBSTANCE, PEDDLE c270 §3",0,21,"HARMFUL SUBSTANCE, PEDDLE","270","3","",0,0
"1324",880,"CIGARETTES TO MINOR, DELIVER c270 §6",0,1,"CIGARETTES TO MINOR, DELIVER","270","6","",0,0
"1325",874,"ARSENIC TEST, FAIL FURNISH SAMPLE FOR c270 §11",0,1,"ARSENIC TEST, FAIL FURNISH SAMPLE FOR","270","11","",0,0
"1326",875,"TRASH, LITTER c270 §16",25,29,"TRASH, LITTER","270","16","",0,0
"1327",876,"TRASH, LITTER FROM MV c270 §16",25,32,"TRASH, LITTER FROM MV","270","16","",0,0
"1328",877,"TRASH, DUMP FROM MV +7 CU FT c270 §16",9,2,"TRASH, DUMP FROM MV +7 CU FT","270","16","",0,0
"1329",878,"GLUE/TOXIC SUBSTANCE, INHALE c270 §18",18,18,"GLUE/TOXIC SUBSTANCE, INHALE","270","18","Yes",0,0
"1330",884,"GAMING IN PUBLIC/TRESPASSING c271 §2",0,4,"GAMING IN PUBLIC/TRESPASSING","271","2","",0,0
"1331",887,"GAMING HOUSE, KEEP COMMON c271 §5",0,5,"GAMING HOUSE, KEEP COMMON","271","5","",0,0
"1332",888,"LOTTERY, SET UP/PROMOTE c271 §7",0,5,"LOTTERY, SET UP/PROMOTE","271","7","",0,0
"1333",889,"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF. c271 §7",0,1,"LOTTERY, SET UP/PROMOTE, SUBSQ.OFF.","271","7","",0,0
"1334",890,"RAFFLE/BAZAAR VIOLATION c271 §7A",0,1,"RAFFLE/BAZAAR VIOLATION","271","7A","",0,0
"1335",881,"GAMING ENTERPRISE, MANAGE c271 §16A",0,3,"GAMING ENTERPRISE, MANAGE","271","16A","",0,0
"1336",882,"BETTING, TAKE/ALLOW/PRESENT AT c271 §17",0,9,"BETTING, TAKE/ALLOW/PRESENT AT","271","17","",0,0
"1337",883,"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF c271 §17",0,1,"BETTING, TAKE/ALLOW/PRESENT AT,SUBSQ.OFF","271","17","",0,0
"1338",885,"THREAT, BUSINESS c271 §39(a)",0,1,"THREAT, BUSINESS","271","39(a)","Yes",0,0
"1339",886,"USURY c271 §49(a) or (b)",0,14,"USURY","271","49(a) or (b)","",0,0
"1340",891,"MARRIAGE, ABDUCT PERSON -16 FOR SECRET c. 272 s. 1",0,2,"MARRIAGE, ABDUCT PERSON -16 FOR SECRET","272","1","",0,0
"1341",910,"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR c272 §2",0,3,"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR","272","2","No",1,0
"1342",911,"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR c. 272 s. 2",0,2,"PROSTITUTION/UNLAW SEX,ABDUCT PERSON FOR","272","2","No",1,0
"1343",924,"SEXUAL INTERCOURSE, DRUG FOR c272 §3",2,3,"SEXUAL INTERCOURSE, DRUG FOR","272","3","No",1,0
"1344",930,"SEXUAL INTERCOURSE, INDUCE CHASTE MINOR c272 §4",1,1,"SEXUAL INTERCOURSE, INDUCE CHASTE MINOR","272","4","No",1,0
"1345",939,"PROSTITUTION, INDUCE MINOR TO c272 §4A",0,9,"PROSTITUTION, INDUCE MINOR TO","272","4A","No",1,0
"1346",940,"PROSTITUTION, DERIVE SUPPORT FROM CHILD c272 §4B",0,3,"PROSTITUTION, DERIVE SUPPORT FROM CHILD","272","4B","No",1,0
"1347",968,"PROSTITUTION, MAINTAIN HOUSE OF c272 §6",0,11,"PROSTITUTION, MAINTAIN HOUSE OF","272","6","",0,0
"1348",970,"PROSTITUTION, DERIVE SUPPORT FROM c272 §7",15,76,"PROSTITUTION, DERIVE SUPPORT FROM","272","7","Yes",0,0
"1349",971,"PROSTITUTION, DERIVE SUPPORT FROM c. 272 s. 7",0,1,"PROSTITUTION, DERIVE SUPPORT FROM","272","7","Yes",0,0
"1350",980,"PROSTITUTE, SOLICIT FOR c272 §8",2,12,"PROSTITUTE, SOLICIT FOR","272","8","Yes",0,0
"1351",897,"PROSTITUTION, PROCURE PERSON TO PRACTICE c272 §12",0,4,"PROSTITUTION, PROCURE PERSON TO PRACTICE","272","12","Yes",0,0
"1352",898,"PROSTITUTION, PROCURE PERSON TO PRACTICE c. 272 s. 12",0,1,"PROSTITUTION, PROCURE PERSON TO PRACTICE","272","12","Yes",0,0
"1353",899,"LEWDNESS, OPEN AND GROSS c272 §16",60,624,"LEWDNESS, OPEN AND GROSS","272","16","Yes",0,0
"1354",900,"LEWDNESS, OPEN AND GROSS c272 §16",60,624,"LEWDNESS, OPEN AND GROSS","272","16","No",1,0
"1355",901,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF.  c272 §16",8,0,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF. ","272","16","Yes",0,0
"1356",902,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF.  c272 §16",8,0,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF. ","272","16","No",1,0
"1357",903,"LEWDNESS, OPEN AND GROSS, HABITUAL  c272 §16",4,0,"LEWDNESS, OPEN AND GROSS, HABITUAL ","272","16","Yes",0,0
"1358",904,"LEWDNESS, OPEN AND GROSS, HABITUAL  c272 §16",4,0,"LEWDNESS, OPEN AND GROSS, HABITUAL ","272","16","No",1,0
"1359",905,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF. c272 §16",0,21,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF.","272","16","Yes",0,0
"1360",906,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF. c272 §16",0,21,"LEWDNESS, OPEN AND GROSS, SUBSQ.OFF.","272","16","No",1,0
"1361",907,"LEWDNESS, OPEN AND GROSS c. 272 s. 16",0,2,"LEWDNESS, OPEN AND GROSS","272","16","Yes",0,0
"1362",908,"LEWDNESS, OPEN AND GROSS c. 272 s. 16",0,2,"LEWDNESS, OPEN AND GROSS","272","16","No",1,0
"1363",909,"INCEST c272 §17",5,16,"INCEST","272","17","No",1,0
"1364",912,"PROSTITUTION, KEEP HOUSE OF c272 §24",11,16,"PROSTITUTION, KEEP HOUSE OF","272","24","",0,0
"1365",913,"OBSCENE MATTER TO MINOR c272 §28",40,88,"OBSCENE MATTER TO MINOR","272","28","No",1,0
"1366",914,"OBSCENE MATTER TO MINOR, 2ND OFF. c272 §28",1,0,"OBSCENE MATTER TO MINOR, 2ND OFF.","272","28","No",1,0
"1367",915,"OBSCENE MATTER, DISTRIBUTE c272 §29",14,41,"OBSCENE MATTER, DISTRIBUTE","272","29","Yes",0,0
"1368",916,"CHILD IN NUDE, LASCIVIOUS POSE/EXHIBIT c272 §29A(a)",33,64,"CHILD IN NUDE, LASCIVIOUS POSE/EXHIBIT","272","29A(a)","No",1,0
"1369",917,"CHILD IN SEXUAL ACT, POSE/EXHIBIT c272 §29A(b)",4,4,"CHILD IN SEXUAL ACT, POSE/EXHIBIT","272","29A(b)","No",1,0
"1370",918,"CHILD IN NUDE, DISTRIB MATERIAL OF c272 §29B(a)",37,79,"CHILD IN NUDE, DISTRIB MATERIAL OF","272","29B(a)","No",1,0
"1371",919,"CHILD IN SEXUAL ACT, DISTRIB MATERIAL OF c272 §29B(b)",9,17,"CHILD IN SEXUAL ACT, DISTRIB MATERIAL OF","272","29B(b)","No",1,0
"1372",920,"CHILD PORNOGRAPHY, POSSESS c272 §29C",144,184,"CHILD PORNOGRAPHY, POSSESS","272","29C","No",1,0
"1373",921,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF.  c272 §29C",2,0,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF. ","272","29C","No",1,0
"1374",922,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF. c272 §29C",0,9,"CHILD PORNOGRAPHY, POSSESS, 2ND OFF.","272","29C","No",1,0
"1375",923,"CHILD PORNOGRAPHY, POSSESS, 3RD OFF. c272 §29C",0,2,"CHILD PORNOGRAPHY, POSSESS, 3RD OFF.","272","29C","No",1,0
"1376",925,"BESTIALITY c272 §34",0,2,"BESTIALITY","272","34","Yes",0,0
"1377",926,"SODOMY c272 §34",0,2,"SODOMY","272","34","Yes",0,0
"1378",927,"UNNATURAL ACT c272 §35",4,2,"UNNATURAL ACT","272","35","Yes",0,0
"1379",928,"UNNATURAL ACT WITH CHILD -16 c272 §35A",63,2,"UNNATURAL ACT WITH CHILD -16","272","35A","No",1,0
"1380",929,"RELIGIOUS SERVICE, DISTURB c272 §38",0,1,"RELIGIOUS SERVICE, DISTURB","272","38","",0,0
"1381",931,"SCHOOL, DISTURB c272 §40",117,24,"SCHOOL, DISTURB","272","40","Yes",0,0
"1382",932,"PUBLIC ASSEMBLY, DISTURB c272 §40",2,39,"PUBLIC ASSEMBLY, DISTURB","272","40","Yes",0,0
"1383",933,"SCHOOL, POSSESS LIQUOR IN c272 §40A",0,1,"SCHOOL, POSSESS LIQUOR IN","272","40A","Yes",0,0
"1384",934,"FUNERAL PROCESSION, DISTURB c272 §42",0,6,"FUNERAL PROCESSION, DISTURB","272","42","",0,0
"1385",935,"FUNERAL SERVICE, DISTURB c272 §42A",0,1,"FUNERAL SERVICE, DISTURB","272","42A","",0,0
"1386",936,"DISORDERLY CONDUCT ON PUBLIC CONVEYANCE c272 §43",1,32,"DISORDERLY CONDUCT ON PUBLIC CONVEYANCE","272","43","Yes",0,0
"1387",937,"DISORDERLY CONDUCT ON PUB CONVEY,3RD OFF c272 §43",0,1,"DISORDERLY CONDUCT ON PUB CONVEY,3RD OFF","272","43","Yes",0,0
"1388",938,"SMOKING ON MBTA c272 §43A",0,7,"SMOKING ON MBTA","272","43A","Yes",0,0
"1389",941,"DISORDERLY CONDUCT c272 §53",1377,5902,"DISORDERLY CONDUCT","272","53","No",0,0
"1390",942,"DISORDERLY CONDUCT c272 §53",1377,5902,"DISORDERLY CONDUCT","272","53","Yes",0,0
"1391",943,"DISTURBING THE PEACE c272 §53",403,1870,"DISTURBING THE PEACE","272","53","No",0,0
"1392",944,"DISTURBING THE PEACE c272 §53",403,1870,"DISTURBING THE PEACE","272","53","Yes",0,0
"1393",945,"INDECENT EXPOSURE c272 §53",68,424,"INDECENT EXPOSURE","272","53","No",1,0
"1394",946,"INDECENT EXPOSURE c272 §53",68,424,"INDECENT EXPOSURE","272","53","Yes",0,0
"1395",947,"ACCOST/ANNOY PERSON OF OPPOSITE SEX c272 §53",37,113,"ACCOST/ANNOY PERSON OF OPPOSITE SEX","272","53","No",1,0
"1396",948,"ACCOST/ANNOY PERSON OF OPPOSITE SEX c272 §53",37,113,"ACCOST/ANNOY PERSON OF OPPOSITE SEX","272","53","Yes",0,0
"1397",949,"NOISY & DISORDERLY HOUSE, KEEP c272 §53",15,279,"NOISY & DISORDERLY HOUSE, KEEP","272","53","No",0,0
"1398",950,"NOISY & DISORDERLY HOUSE, KEEP c272 §53",15,279,"NOISY & DISORDERLY HOUSE, KEEP","272","53","Yes",0,0
"1399",951,"LEWD, WANTON & LASCIVIOUS CONDUCT c272 §53",14,174,"LEWD, WANTON & LASCIVIOUS CONDUCT","272","53","No",1,0
"1400",952,"LEWD, WANTON & LASCIVIOUS CONDUCT c272 §53",14,174,"LEWD, WANTON & LASCIVIOUS CONDUCT","272","53","Yes",0,0
"1401",953,"NIGHTWALKER, COMMON c272 §53",0,75,"NIGHTWALKER, COMMON","272","53","No",0,0
"1402",954,"NIGHTWALKER, COMMON c272 §53",0,75,"NIGHTWALKER, COMMON","272","53","Yes",0,0
"1403",955,"STREETWALKER, COMMON c272 §53",0,10,"STREETWALKER, COMMON","272","53","No",0,0
"1404",956,"STREETWALKER, COMMON c272 §53",0,10,"STREETWALKER, COMMON","272","53","Yes",0,0
"1405",957,"DISORDERLY CONDUCT, SUBSQ. OFF. c272 §53",0,5,"DISORDERLY CONDUCT, SUBSQ. OFF.","272","53","No",0,0
"1406",958,"DISORDERLY CONDUCT, SUBSQ. OFF. c272 §53",0,5,"DISORDERLY CONDUCT, SUBSQ. OFF.","272","53","Yes",0,0
"1407",959,"NIGHTWALKER, COMMON, 3RD OFFENSE c272 §53",0,5,"NIGHTWALKER, COMMON, 3RD OFFENSE","272","53","No",0,0
"1408",960,"NIGHTWALKER, COMMON, 3RD OFFENSE c272 §53",0,5,"NIGHTWALKER, COMMON, 3RD OFFENSE","272","53","Yes",0,0
"1409",961,"DISORDERLY CONDUCT c. 272 s. 53",0,4,"DISORDERLY CONDUCT","272","53","No",0,0
"1410",962,"DISORDERLY CONDUCT c. 272 s. 53",0,4,"DISORDERLY CONDUCT","272","53","Yes",0,0
"1411",963,"DISTURBING THE PEACE, SUBSQ. OFF. c272 §53",0,3,"DISTURBING THE PEACE, SUBSQ. OFF.","272","53","No",0,0
"1412",964,"DISTURBING THE PEACE, SUBSQ. OFF. c272 §53",0,3,"DISTURBING THE PEACE, SUBSQ. OFF.","272","53","Yes",0,0
"1413",965,"SEXUAL CONDUCT FOR FEE c272 §53A",14,404,"SEXUAL CONDUCT FOR FEE","272","53A","",1,0
"1414",966,"SEXUAL CONDUCT, PAY FOR c272 §53A",1,168,"SEXUAL CONDUCT, PAY FOR","272","53A","",1,0
"1415",967,"SEXUAL CONDUCT, PAY FOR OR FOR FEE c. 272 s. 53A",0,2,"SEXUAL CONDUCT, PAY FOR OR FOR FEE","272","53A","",1,0
"1416",969,"TRAMP, THREATS BY c272 §64",0,1,"TRAMP, THREATS BY","272","64","",0,0
"1417",972,"GRAVESTONE, VANDALIZE c272 §73",1,3,"GRAVESTONE, VANDALIZE","272","73","",0,0
"1418",973,"GRAVE PLANTING, VANDALIZE c272 §73",1,1,"GRAVE PLANTING, VANDALIZE","272","73","",0,0
"1419",974,"GRAVE, DISTURB c272 §73",0,2,"GRAVE, DISTURB","272","73","",0,0
"1420",975,"CEMETERY, VANDALIZE c272 §74",1,0,"CEMETERY, VANDALIZE","272","74","",0,0
"1421",976,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE c272 §75",3,0,"GRAVE FLOWERS/FLAG/TOKEN, REMOVE","272","75","",0,0
"1422",977,"ANIMAL, CRUELTY TO c272 §77",68,101,"ANIMAL, CRUELTY TO","272","77","Yes",0,0
"1423",978,"ANIMAL, CRUELTY TO BY CUSTODIAN c272 §77",2,6,"ANIMAL, CRUELTY TO BY CUSTODIAN","272","77","Yes",0,0
"1424",979,"POLICE HORSE/DOG, MISTREAT/INTERFERE c272 §77A",5,3,"POLICE HORSE/DOG, MISTREAT/INTERFERE","272","77A","Yes",0,0
"1425",981,"ANIMAL FIGHT, KEEP/PROMOTE c272 §94",0,1,"ANIMAL FIGHT, KEEP/PROMOTE","272","94","Yes",0,0
"1426",892,"PHOTOGRAPH, UNSUSPECTING NUDE PERSON c272 §104/B",0,32,"PHOTOGRAPH, UNSUSPECTING NUDE PERSON","272","104/B","",0,0
"1427",893,"PHOTOGRAPH, SECRETLY NUDE PERSON c272 §105",0,12,"PHOTOGRAPH, SECRETLY NUDE PERSON","272","105","",0,0
"1428",894,"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART c272 §105",0,11,"PHOTO, VIDEO, ELEC SURVEIL SECRETLY INITIMATE PART","272","105","",0,0
"1429",895,"PHOTOGRAPH UNSUSPECTING NUDE PERSON c272 s105(b)",38,0,"PHOTOGRAPH UNSUSPECTING NUDE PERSON","272","105(b)","Yes",0,0
"1430",896,"PHOTOGRAPH OF UNSUSPECTING NUDE PERSON, DISSEMINATE c272 s105(c)",7,0,"PHOTOGRAPH OF UNSUSPECTING NUDE PERSON, DISSEMINATE","272","105(c)","Yes",0,0
"1431",982,"WIRETAP, UNLAWFUL c272 §99(C)(1)",11,19,"WIRETAP, UNLAWFUL","272","99(C)(1)","",0,0
"1432",983,"WIRETAP, UNLAWFUL, ATTEMPT c272 §99(C)(1)",1,1,"WIRETAP, UNLAWFUL, ATTEMPT","272","99(C)(1)","",0,0
"1433",985,"WIRETAP, POSSESS DEVICE FOR c272 §99(C)(5)",3,3,"WIRETAP, POSSESS DEVICE FOR","272","99(C)(5)","",0,0
"1434",984,"WIRETAP, DISCLOSE CONTENTS OF c272 §99(C)(3) or (4)",2,0,"WIRETAP, DISCLOSE CONTENTS OF","272","99(C)(3) or (4)","",0,0
"1435",986,"ACCESSORY BEFORE THE FACT c274 §2",5,10,"ACCESSORY BEFORE THE FACT","274","2","Yes",0,0
"1436",987,"ACCESSORY AFTER THE FACT c274 §4",26,83,"ACCESSORY AFTER THE FACT","274","4","Yes",0,0
"1437",988,"ACCESSORY AFTER THE FACT c. 274 s. 4",0,2,"ACCESSORY AFTER THE FACT","274","4","Yes",0,0
"1438",989,"ATTEMPT TO COMMIT CRIME c274 §6",218,1503,"ATTEMPT TO COMMIT CRIME","274","6","No",0,0
"1439",990,"ATTEMPT TO COMMIT CRIME c274 §6",218,1503,"ATTEMPT TO COMMIT CRIME","274","6","Yes",0,0
"1440",991,"ATTEMPT TO COMMIT CRIME, HABITUAL c274 §6",2,0,"ATTEMPT TO COMMIT CRIME, HABITUAL","274","6","No",0,0
"1441",992,"ATTEMPT TO COMMIT CRIME, HABITUAL c274 §6",2,0,"ATTEMPT TO COMMIT CRIME, HABITUAL","274","6","Yes",0,0
"1442",993,"ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH c. 274 s. 6",0,2,"ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH","274","6","No",0,0
"1443",994,"ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH c. 274 s. 6",0,2,"ATTEMPT TO COMMIT CRIME PUNISHABLE BY DEATH","274","6","Yes",0,0
"1444",996,"ATTEMPT TO COMMIT CRIME c. 274 s. 6 - Larceny",0,5,"ATTEMPT TO COMMIT CRIME","274","6 - Larceny","",0,0
"1445",997,"CONSPIRACY c274 §7",331,222,"CONSPIRACY","274","7","",0,0
"1446",995,"ATTEMPT TO COMMIT CRIME c. 274 s. 6 - 5 year felony or greater",0,3,"ATTEMPT TO COMMIT CRIME","274","6 - 5 year felony or greater","",0,0
"1447",999,"THREAT TO COMMIT CRIME c275 §2",496,6967,"THREAT TO COMMIT CRIME","275","2","Yes",0,0
"1448",1000,"THREAT TO COMMIT CRIME c. 275 s. 2",0,15,"THREAT TO COMMIT CRIME","275","2","Yes",0,0
"1449",998,"AFFRAY c. 275 s. 14",0,99,"AFFRAY","275","14","",0,0
"1450",1001,"FUGITIVE FROM JUSTICE ON GOV'S WARRANT c276 §19",2,31,"FUGITIVE FROM JUSTICE ON GOV'S WARRANT","276","19","Yes",0,0
"1451",1002,"FUGITIVE, FAIL BRING BEFORE COURT c276 §19",1,0,"FUGITIVE, FAIL BRING BEFORE COURT","276","19","Yes",0,0
"1452",1003,"FUGITIVE FROM JUSTICE ON COURT WARRANT c276 §20A",198,735,"FUGITIVE FROM JUSTICE ON COURT WARRANT","276","20A","",0,0
"1453",1004,"FUGITIVE FROM JUSTICE WITHOUT WARRANT c276 §20B",4,204,"FUGITIVE FROM JUSTICE WITHOUT WARRANT","276","20B","",0,0
"1454",1005,"RECOGNIZANCE, FAIL APPEAR UPON c276 §82A",14,18,"RECOGNIZANCE, FAIL APPEAR UPON","276","82A","Yes",0,0
"1455",1007,"Solicitation to Commit a Felony C279S5",2,0,"SOLICITATION TO COMMIT A FELONY C279S5","279","5","",0,0
"1456",1006,"HABITUAL OFFENDER c279 §25",0,4,"HABITUAL OFFENDER","279","25","",0,0
"1457",1009,"FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00",5,0,"FISH/WILDLIFEHUNT/FISH VIOL 321 CMR §3.00","321","3.00","",0,0
"1458",1010,"MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00",0,2,"MARINE FISH¿REGUL OF CATCHES VIOL 322 CMR §6.00","322","6.00","",0,0
"1459",1011,"MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07",0,5,"MARINE FISH¿STRIPED BASS VIOL 322 CMR §6.07","322","6.07","",0,0
"1460",1012,"MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00",0,1,"MARINE FISH¿COASTAL FISH VIOLATION 322 CMR §8.00","322","8.00","",0,0
"1461",1013,"MBOAT EQUIPMENT VIOLATION 323 CMR §2.06",0,1,"MBOAT EQUIPMENT VIOLATION 323 CMR §2.06","323","2.06","",0,0
"1462",1014,"MBOAT OPERATION VIOLATION 323 CMR §2.07",6,5,"MBOAT OPERATION VIOLATION 323 CMR §2.07","323","2.07","",0,0
"1463",1015,"SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03",1,4,"SNOW/REC VEHICLE VIOLATION * 323 CMR §3.03","323","3.03","",0,0
"1464",1016,"SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05",0,1,"SNOW/REC VEH¿NUMBER PLATE VIOLATION * 323 CMR §3.05","323","3.05","",0,0
"1465",1017,"SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07",0,2,"SNOW/REC VEH¿EQUIPMENT VIOLATION * 323 CMR §3.07","323","3.07","",0,0
"1466",1018,"JET SKI VIOLATION 323 CMR §4.03",2,0,"JET SKI VIOLATION 323 CMR §4.03","323","4.03","",0,0
"1467",1019,"PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03",1,0,"PUBLIC ACCESS REGS VIOLATION 324 CMR §2.03","324","2.03","",0,0
"1468",1029,"MDC WAYHITCHHIKE 350 CMR §4.01",1,0,"MDC WAYHITCHHIKE 350 CMR §4.01","350","4.01","",0,0
"1469",1030,"MDC WAY¿$100 VIOLATION * 350 CMR §4.01",0,44,"MDC WAY¿$100 VIOLATION * 350 CMR §4.01","350","4.01","",0,0
"1470",1031,"MDC WAY¿$200 VIOLATION * 350 CMR §4.01",0,18,"MDC WAY¿$200 VIOLATION * 350 CMR §4.01","350","4.01","",0,0
"1471",1032,"MDC WAY¿$50 VIOLATION * 350 CMR §4.01",0,3,"MDC WAY¿$50 VIOLATION * 350 CMR §4.01","350","4.01","",0,0
"1472",1033,"MDC WAY¿$25 VIOLATION * 350 CMR §4.01",0,1,"MDC WAY¿$25 VIOLATION * 350 CMR §4.01","350","4.01","",0,0
"1473",1034,"MDC WAY¿SPEEDING * 350 CMR §4.01",0,1,"MDC WAY¿SPEEDING * 350 CMR §4.01","350","4.01","",0,0
"1474",1020,"MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09",61,0,"MDC WATERSHEDNON-MV VIOLATION 350 CMR §11.09","350","11.09","",0,0
"1475",1021,"MDC WATERSHEDMV VIOLATION  350 CMR §11.09",19,0,"MDC WATERSHEDMV VIOLATION  350 CMR §11.09","350","11.09","",0,0
"1476",1022,"MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09",0,55,"MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09","350","11.09","",0,0
"1477",1023,"MDC WATERSHED¿MV VIOLATION 350 CMR §11.09",0,5,"MDC WATERSHED¿MV VIOLATION 350 CMR §11.09","350","11.09","",0,0
"1478",1024,"MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02",0,1,"MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02","350","12.02","",0,0
"1479",1025,"MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2)",1,0,"MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2)","350","2.01(2)","",0,0
"1480",1026,"MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2)",0,39,"MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2)","350","2.01(2)","",0,0
"1481",1027,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",0,14,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)","350","2.01(2)","",0,0
"1482",1028,"MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01",0,14,"MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01","350","350 CMR §4.01","",0,0
"1483",1035,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT c369 §14",0,1,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT","369","14","",0,0
"1484",1053,"MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00",7,3,"MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00","540","4.00","",0,0
"1485",1043,"MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03",9,19,"MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03","540","14.03","",0,0
"1486",1044,"HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03",0,1,"HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03","540","14.03","",0,0
"1487",1046,"REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(a)",36,68,"REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(A)","540","2.05(6)(a)","",0,0
"1488",1047,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",0,1,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)","540","2.12(2)","",0,0
"1489",1052,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",8,18,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07","540","22.07","",0,0
"1490",1048,"TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1)",0,12,"TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1)","540","2.22(1)","",0,0
"1491",1049,"REGISTRATION STICKER MISSING * 540 CMR §2.24(3)",0,2,"REGISTRATION STICKER MISSING * 540 CMR §2.24(3)","540","2.24(3)","",0,0
"1492",1045,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",4,8,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)","540","18.04(2)","",0,0
"1493",1050,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",47,17,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)","540","22.05(2)","",0,0
"1494",1051,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",2,2,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)","540","22.05(2)","",0,0
"1495",1085,"MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(a)",0,49,"MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(A)","700","7.09(5)(a)","",0,0
